,bookNum,hymnNum,verseNum,serNum,deity,poet,meter
0,1,1,1,1,Agni,Madhuchandas Vaiśvāmitra,gāyatrī
1,1,1,2,1,Agni,Madhuchandas Vaiśvāmitra,gāyatrī
2,1,1,3,1,Agni,Madhuchandas Vaiśvāmitra,gāyatrī
3,1,1,4,1,Agni,Madhuchandas Vaiśvāmitra,gāyatrī
4,1,1,5,1,Agni,Madhuchandas Vaiśvāmitra,gāyatrī
5,1,1,6,1,Agni,Madhuchandas Vaiśvāmitra,gāyatrī
6,1,1,7,1,Agni,Madhuchandas Vaiśvāmitra,gāyatrī
7,1,1,8,1,Agni,Madhuchandas Vaiśvāmitra,gāyatrī
8,1,1,9,1,Agni,Madhuchandas Vaiśvāmitra,gāyatrī
9,1,2,1,2,Vāyu,Madhuchandas Vaiśvāmitra,gāyatrī
10,1,2,2,2,Vāyu,Madhuchandas Vaiśvāmitra,gāyatrī
11,1,2,3,2,Vāyu,Madhuchandas Vaiśvāmitra,gāyatrī
12,1,2,4,2,Indra and Vāyu,Madhuchandas Vaiśvāmitra,gāyatrī
13,1,2,5,2,Indra and Vāyu,Madhuchandas Vaiśvāmitra,gāyatrī
14,1,2,6,2,Indra and Vāyu,Madhuchandas Vaiśvāmitra,gāyatrī
15,1,2,7,2,Mitra and Varuṇa,Madhuchandas Vaiśvāmitra,gāyatrī
16,1,2,8,2,Mitra and Varuṇa,Madhuchandas Vaiśvāmitra,gāyatrī
17,1,2,9,2,Mitra and Varuṇa,Madhuchandas Vaiśvāmitra,gāyatrī
18,1,3,1,3,Aśvins,Madhuchandas Vaiśvāmitra,gāyatrī
19,1,3,2,3,Aśvins,Madhuchandas Vaiśvāmitra,gāyatrī
20,1,3,3,3,Aśvins,Madhuchandas Vaiśvāmitra,gāyatrī
21,1,3,4,3,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
22,1,3,5,3,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
23,1,3,6,3,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
24,1,3,7,3,All Gods,Madhuchandas Vaiśvāmitra,gāyatrī
25,1,3,8,3,All Gods,Madhuchandas Vaiśvāmitra,gāyatrī
26,1,3,9,3,All Gods,Madhuchandas Vaiśvāmitra,gāyatrī
27,1,3,10,3,Sarasvatı̄,Madhuchandas Vaiśvāmitra,gāyatrī
28,1,3,11,3,Sarasvatı̄,Madhuchandas Vaiśvāmitra,gāyatrī
29,1,3,12,3,Sarasvatı̄,Madhuchandas Vaiśvāmitra,gāyatrī
30,1,4,1,4,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
31,1,4,2,4,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
32,1,4,3,4,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
33,1,4,4,4,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
34,1,4,5,4,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
35,1,4,6,4,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
36,1,4,7,4,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
37,1,4,8,4,Indra,Madhuchandas Vaiśvāmitra,gāyatrī
