z;izIte ;ati
adukSat ;anu
ady;a s;adasaH
v;izvam AB;Asi
n;a ;arvA
h;i sup;ezasA
;anu zy;enI
;ISate n;a
pazc;At kav;ayaH
d;asyavaH barh;iSmate
pav;itravAn pun;Ati
;araMkqtAH t;eSAm
vandiSIm;ahi pr;a
gqh;eByaH Den;avaH
prar;ecanam ;indrAvaruZA=
n;i sadat
agn;im h;otAram
D;amantA ur;u
carat v;Ak
mahat;aH m;ahi
dev;An y;aH
s;am zyat
vqZate d;iviSwiSu
zatrUyat;Am ;aDarA
gn;Asu ant;ar
z;uSZasya dqMhit;AH
ark;EH B;agaH
vay;am zv;aH
;ava v;aDar
didy;ut tveS;apratIkA
rev;at asm;aByam
y;atra n;araH
;agne m;artAya
asya z;Asam
uSaH kaDapriye
;inakSat asm;Akam
devAH atikr;ame
h;arim y;at
gir;im n;a
Gqt;am ;A
stave duhit;A
rudr;Aya tav;ase
arv;AV ;upa
gqZ;antaH vidy;Ama
qtv;iyAH ;upa
pazyanti sUr;ayaH
mqxay;attamA ;aTa
param;e vy:omani
;arvadBiH v;Ajam
rIriSaH vIr;An
;ahan enam
v;AtaraMhasaH divy;AsaH
m;adAya vAvqDe
suK;aH r;aTaH
nADit;Aya ;apinvatam
;ahiMsyamAnaH urviy;A
rodasI m;A
v;izvam tatqSAZ;am
v;ijAmAtuH ut;a
sunvat;aH ;A
rukm;I tveS;aH
;ataH saMg;qBya
sukr;atuH ;ataH
;Apyam s;a
;anu dAyi
n;ayamAnaH ukT;A
bqhat;I v;i
;azvAvat ukTy:am
praD;ayaH cakr;am
ap;Am ay;am
pratn;asya ;okasaH
t;ava deva
jIv;ase vid;AH
akalp;aH ;indraH
yAti savit;A
upam;A z;azvatInAm
id;am ady;a
ant;arikSasya n;qByaH
k;aH ciketa
s;adA d;akSiZAvatAm
n;i s;arvasenaH
t;at naH
mar;utvAn ;avaDIH
vy:omani Av;iH
dr;uhaH dahAmi
turv;aze ;ataH
Den;uH ;aditiH
suk;qte sud;Anave
uCa z;azvat
duvasy;anti sv;asAraH
v;ihAyAH arat;iH
j;arBurAZA caranti
rocase r;AtryAH
;A viB;Ati
n;ityam j;anayaH
vaH mah;e
t;eBiH rakSante
aB;ihruteH aG;At
r;aTam qt;Aya
man;Am gUrta
vaH b;alam
y;avaseSu ;A
nqS;Ahye sAsahv;An
vaDIH t;ejiSWayA
v;i adyOt
vid;advasum g;iraH
ISate tujy;ate
yAtay;ajjanaH aryam;A
n;a tanyat;uH
t;A naH
y;at ;abravam
vAjas;AtamA t;A
daDiDve ;A
agne uc;aTAni
sudev;am sahasaH
BrAtar dr;uZaH
z;izvA viB;uH
vAjay;antIm atakSam
sv;AhAkqtAni ;A
v;iprasya m;anmanAm
;anu j;oSyA
s;omaH Den;um
s;a candr;aH
r;aTena tricakr;eZa
kqT;aH y;ABiH
sugop;A syAtam
k;uyavAcam mqD;i
kqZuDvam pr;a
n;a v;akvA
y;at z;arDaH
pqTiv;I t;at
g;oSu gaCati
;A s;Uryam
v;ajram ;aDi
zat;adureSu gAtuv;it
g;IH iS;A
uS;asA saceTe
vasat;im patAmi
puruSwut;aH tv;am
z;iraH apazyam
sahasras;AtamAm ;A
y;aH devayat;Am
jaritQZ;Am qZ;oH
;ABqtam h;otA
nir;ahan qj;izvanA
sIdantu yajY;iyAH
;azvinA som;inaH
te hAriyojana
sruv;eZa siYc;an
t;e mahim;Anam
v;acaH sapary;ati
tOgry;aH nADit;aH
;azizvIH duhIy;an
;agne v;astoH
t;at v;apuSe
Asan t;Ani
barh;iSi y;akSi
dy;Am ;ut
z;ArIH ;Ajatam
n;a v;i
agn;iH havy;A
tvA v;aruZaH
astu mqx;a
