soma saKy;e
v;i u
vAm D;iyaH
ray;im Dattam
;iti kr;atvA
v;i ;aMhaH
Im ;A
;A agAt
v;Ayo ;A
agne sam;iDA
y;at te
u s;u
v;asu s;a
sapt;a yahv;IH
u ty;at
az;uSam n;i
indra sapt;a
praTam;am j;AyamAnaH
t;at u
tv;Am ;anu
;azvasya vAj;inaH
aB;i p;qkSaH
y;e Im
t;at vaH
ca soma
p;ari s;antam
uc;aTAni veDaH
cit Ga
;it n;u
naH dev;I
;aditiH kqZotu
mah;aH rAy;aH
mitr;aH n;a
g;uhA hit;am
st;omaH indra
cit ;indraH
agne ;A
n;a Ga
agn;iH h;otA
san;aye D;anAnAm
y;aH tast;amBa
h;i te
v;i d;uraH
vay;am tvA
naH agne
k;aH vaH
;avase kqZuDvam
y;at ;ahan
y;aH ;asti
v;izvasya j;agataH
Ut;aye ;A
naH ;aditiH
siMh;aH n;a
agn;iH Ize
n;a m;artAH
;anu vAti
indra vajrin
pr;a AvaH
s;u naH
y;aH carSaZ;IH
yuD;A g;AH
c;arma iva
UrDv;aH u
Ut;iBiH t;am
vAj;I n;a
sUno sahasaH
;anu enam
aps;u ant;ar
div;aH ;A
rAy;aH p;oSam
pr;a Avat
n;a y;asya
m;aDumAn naH
cit naH
jaGanv;An asqjat
ih;a ;A
s;a h;i
dev;aH savit;A
agne p;azyantaH
dev;aH dev;eSu
;A cit
agn;im m;anuSaH
k;aH vA
;apa vqDi
z;atrUn s;a
y;aH jaj;Ana
astu s;anitA
mqg;aH n;a
zukr;eZa zoc;iSA
saMc;araZe saniSy;avaH
;At ;it
v;izvA pr;a
;upa yajY;am
cit h;i
c;armaZaH g;Am
;A nAsatyA
kSit;iH n;a
uB;ayeSu asm;e
vAm r;aTam
m;ade s;omasya
tr;IZi rocan;A
agne ;ava
sapt;a s;inDUn
carSaZ;IH aB;i
pr;a y;e
n;a y;at
s;avaneSu prav;AcyA
sma asya
asm;Akam indra
;aCa n;a
y;aH vAm
;it u
gavy;antaH ;indram
naH ray;im
sma te
somap;A s;omapItaye
;indram n;a
dy;OH n;a
v;izvABiH Ut;iBiH
;it rip;avaH
kv:a svit
raGv;IH iva
asm;Akam s;u
r;AjA kqSwIn;Am
s;a Ga
n;i pAtu
mumugDi asm;at
m;artyeSu am;qtaH
agne t;ava
y;at vAm
;aDi zr;avaH
;ut ava
;aCa voceya
t;A te
karat pr;a
n;araH tok;asya
v;aruZasya D;Ama
u te
yajY;e asm;in
ut;a sma
;ut iyarti
naH ih;a
uB;A z;aMsA
naH s;acA
sady;aH ;A
k;at rudr;Aya
d;ame ;A
zazamAn;Aya sunvat;e
im;Am v;Acam
iva p;atye
;anu pr;a
mah;at t;at
mitr;aH aryam;A
dev;An ;A
;A candr;eZa
;aBUt u
et;A te
h;i tvA
n;a ;aha
y;aH sma
agn;iH dev;AnAm
n;a razm;ayaH
tvA vay;am
n;i sedire
;upa pr;azastaye
pad;am v;eH
rip;avaH n;a
mah;aH cit
;A h;i
asy;a v;acasaH
t;at ;indraH
agne uc;aTAni
h;otA naH
n;i asAdi
pad;am n;a
carSaZ;iByaH ;A
;it p;ari
asm;e ray;im
;upa yAtam
y;aH asya
pr;a t;am
;A ih;a
naH v;AjasAtO
maDup;eBiH As;aBiH
anD;am zroZ;am
;A takSata
vAm azvinA
pr;a vAm
r;aTaH sv;azvaH
sv:ar n;a
tqS;u y;at
;A ;it
v;izvA ;it
kr;atve d;akSAya
s;a naH
n;a pakv;aH
ca gaCatam
savit;A iva
n;a dev;AH
r;aTam k;am
;it h;i
v;izve dev;AsaH
aryam;aZam v;aruZam
ev;a naH
;anu vaH
n;a y;oSAm
;A yAtam
vAm p;ari
agn;im h;otAram
d;aDAnaH v;i
dev;I ;aditiH
tv;am mah;An
Az;um n;a
y;at sIm
mitr;asya v;aruZasya
;aha te
;A ca
tv;am vqtr;am
cit ary;aH
saty;am astu
div;aH cit
sacante v;aruZasya
yuv;Am ;it
samudr;At ut;a
Gqt;asya D;ArAH
v;iBvA v;AjaH
h;otA n;i
naH pit;araH
;A tvA
gqh;am ;indraH
k;aH dadarza
Adity;EH naH
naH mah;An
t;ava ty;e
vAj;I ;arvA
rukm;aH n;a
agn;iH havy;Ani
suk;qtaH duroZ;am
;anUnam agn;im
pr;a te
v;izvAH ;it
;A ;indram
sady;aH cit
t;anayAya z;am
kaT;A dAzema
iva dy;OH
h;otA y;ajiSWaH
tv;am asy;a
sTir;A cit
div;aH t;e
pit;A janit;A
;A vaha
sv;e d;ame
asqjat v;i
maGavan indra
;agne m;AkiH
qt;asya y;onA
v;ane ;A
s;am y;at
sapt;a D;AmaBiH
daBr;eBiH cit
y;aH vaH
;anu v;izve
ukT;am m;adaH
s;adam ;it
te v;izvA
indra t;uByam
aB;i Im
s;a veda
suv;qtA r;aTena
iva vajrin
vizv;avedAH d;ipsantaH
puruhUt;aH ;indraH
aB;iBUtim ugr;am
r;aTAH ;azvAsaH
naH astu
anD;am durit;At
dy;AvApqTiv;I ant;arikSam
n;u cit
ut;a y;e
v;Ajasya g;omataH
dAzema agn;aye
;A Buvat
ca naH
Buvat s;a
tv;ayA vay;am
;A eSu
rar;akSa t;An
aryam;A v;aruZaH
g;otamAH gir;A
y;e te
jAm;im ;ajAmim
ut;a vA
sady;aH p;ari
pr;a vaH
;ahan ;indraH
;ataH ;A
im;AH u
yUy;am h;i
tvA aB;i
rakS;asaH pAh;i
y;e ca
k;aH te
;A uS;AH
;upa naH
nah;i n;u
;it asya
h;otA y;aH
r;AjA iva
t;at naH
t;ava t;at
naH ;AyuH
aB;i astu
p;atye uzat;I
t;ava pr;aZItI
j;anayaH n;a
k;A te
te sumat;im
r;ADaH indra
samudr;am n;a
im;am yajY;am
k;im u
vizv;aDa syAH
t;at ;A
y;aH ;ekaH
n;iH c;armaZaH
pr;a s;UraH
pr;a naH
;indraH ca
h;i sT;a
saKy;Aya dev;AH
aB;i pr;a
ant;ar Iyate
sma naH
;uSaH zukr;eZa
t;at te
y;aH t;A
k;aH u
asm;e s;am
Ga ;it
naH suB;agA
tanv:aH kqZvata
zvaGn;I iva
n;a BIm;aH
v;arivaH pUr;ave
B;ava naH
v;aruZaH mitr;aH
qt;asya h;i
jy;otiH v;izvasmE
;agne dev;eSu
z;arvA n;i
k;aH vAm
p;azyantaH anD;am
tv;am naH
kqt;am cit
kad;A naH
dev;AH ;indraH
asy;a s;omasya
n;a v;i
n;a jy;otiH
asy;AH Diy;aH
;aditiH z;arma
dy;AvaH n;a
k;aH tvA
r;AjA v;aruZaH
tr;iH sapt;a
v;Ayo ;indraH
etu te
naH ;A
ha y;at
pr;a d;izam
;A naH
p;ari ;ApaH
indra girvaZaH
kqSwIn;Am puruhUt;aH
k;aH im;am
p;qkSaH sacante
arv;Ak ;A
r;akSa naH
vaH m;adAsaH
n;a g;AvaH
mah;An indra
z;arma yaMsat
v;i hvayante
naH indra
;AyUMSi tAriSat
;A Bara
s;a ;it
tok;Aya t;anayAya
gir;iH n;a
naH mitr;aH
;aDa sma
v;asumatA r;aTena
vizantu ;indavaH
Ut;I k;aH
n;i barhIt
havAmahe asy;a
asm;aByam vAjinIvati
v;i naH
mqg;AH iva
mar;udBiH s;am
t;amaH ;A
h;i sma
;A dade
y;at cit
s;a tv;am
ant;ar samudr;e
r;ADasA ;A
y;aH ha
g;uhA akar
;A darSi
gqh;apatiH d;ame
m;aryaH n;a
san;At ev;a
ay;am sut;aH
sahasaH naH
;A v;ayaH
;A gatam
mAmatey;am te
BIm;aH qYj;an
Ga vIr;aH
tok;asya t;anayasya
s;A vAm
ut;a naH
mah;Im av;anim
;A yAhi
vAyo eSAm
te indra
n;a s;a
pur;u sah;asrA
aB;i tvA
div;aH n;a
asya p;AdAH
agne praTam;am
;upa gaCatam
n;a saMc;araZe
;indraH v;aruZaH
naH ;atra
m;aDvaH pibatam
z;am y;oH
h;otA mandr;aH
am;qtaH qt;AvA
tv;am h;i
vid;uH te
k;im naH
jAt;aH anaBIz;uH
sIm ;anu
;A daDarSIt
tv;Am agne
vA p;urISAt
iva pr;a
cakqm;a k;at
;arakSan rar;akSa
savit;A dev;aH
n;a v;Ajam
cit ;annA
te agne
dyumn;EH aB;i
B;ayante v;izvA
;A gahi
aB;i ;A
