sah;a t;e
agne ;anuziSwaH
me dev;AnAm
;A agAt
ur;u ant;arikSam
svast;i naH
y;at te
u s;u
t;e me
;indraH v;i
prayat;i aDvar;e
v;E u
vA ;it
yajY;am ;upa
t;at u
v;izvam s;a
pr;a u
t;at vaH
;it me
m;AnuSe j;ane
param;e saD;asTe
y;at ;asti
aB;i y;at
urviy;A v;i
r;odasI ant;arikSam
;it n;u
pqTiv;I cit
ucyate bqh;at
g;uhA hit;am
mitr;aH n;a
s;am ca
agne ;A
v;izve h;i
agn;iH h;otA
z;am hqd;e
ay;am y;aH
te c;atasraH
h;i te
ah;am agne
n;a ;it
ut;a sy;a
naH agne
astu vaH
k;aH vaH
agne v;i
te ;atra
zat;am vA
;A ay;am
n;Ama cit
syAma p;atayaH
asya pr;a
v;izvam ;A
mitr;e v;aruZe
indra m;artyam
y;aTA v;anam
dy;OH ;aditiH
s;u naH
kS;ayAya gAt;um
s;a u
naH vqSw;im
Im v;ahAte
y;aH tat;Ana
ukT;am ;indrAya
t;at ;it
te r;aTam
durit;Ani v;izvA
ca manmahe
duhitar divaH
m;aDye div;aH
draps;AH m;aDumantaH
s;omam n;a
c;AravaH sTana
div;aH vA
d;ampatI s;amanasA
;aDa te
viB;uH viB;AvA
mqx;ata naH
div;aH ;A
vA y;at
;A kqZuSva
;azvAH iva
n;a y;asya
n;qtamasya nqZ;Am
cit naH
ih;a ;A
s;am asmE
s;a h;i
dev;aH savit;A
me azvinA
yanti s;inDavaH
k;aH veda
agn;im m;anuSaH
satsi barh;iSi
ev;a tv;am
n;i barh;iSi
y;am tr;AyaDve
t;at ;ekam
;indram ev;a
agn;im n;araH
;aMzA iva
;iti cit
y;A te
;At ;it
dev;asya savit;uH
s;a ;A
n;amasA ;A
d;ivA n;aktam
n;u vay;am
cit h;i
u asya
ady;a vqZImahe
;upa y;at
putr;aH n;a
t;asmE u
aB;i arcanti
vaH vAy;um
te m;adAya
t;A naH
pr;a y;e
dUt;am kqZvAn;AH
u t;at
bqh;at div;i
ca gm;aH
m;A vaH
z;avasA varD;ayanti
sumat;im cakAn;aH
yajY;am ca
y;asya mA
;it u
s;Uryasya c;akSuH
p;atayaH rayIZ;Am
im;am naH
n;i ca
naH ray;im
tvA sUrya
dev;AH ;anu
tan;UBiH m;A
t;A v;i
z;arma yaCata
vaH mah;e
naH vqD;e
;aDi stotr;asya
y;aH im;A
;A agAm
t;A te
;indreZa dev;EH
ut;a dy;Am
mar;utaH p;arvatAn
u te
ut;a sma
jarit;Aram yaviSWa
s;a m;artyaH
stotr;asya saKy;asya
;A y;e
B;uvanasya y;aH
d;ame ;A
ca v;izve
cit adrivaH
aB;i syAma
v;i tanvate
;anu pr;a
naH v;AjasAtaye
mitr;aH aryam;A
tv;Am AhuH
dev;An ;A
u nUn;am
;A ihi
;anu tvA
t;am ;A
pr;a vAy;ave
sug;An paT;aH
h;i tvA
s;am jAspaty;am
n;a ;aha
n;akiH ;A
n;u asya
v;AjAn aB;i
yahv;I qt;asya
;ati dv;iSaH
v;i s;u
t;asya vidma
n;i sedire
pr;a v;AtAH
v;AstoH p;atim
s;UryaH n;a
n;i vaH
ca n;u
agne n;i
id;am v;izvam
y;ajamAnAya sunvat;e
id;am naH
n;a tanv:aH
dAH pr;a
asm;e ray;im
v;asUni k;AmyA
y;aH asya
pr;a t;am
;aDi tiSWaTaH
;A ih;a
tvA vqZImahe
t;at agne
;anu avindan
sv:ar n;a
naH yajY;am
kr;atve d;akSAya
pr;a Et
uvAca ;indraH
s;a naH
n;a p;arvatAsaH
n;a ah;am
tv;Am ;it
;indraH vidv;An
ih;a priy;am
;A gata
;it h;i
ray;im dAH
vavr;e ant;ar
;A yAtam
agn;im h;otAram
ty;am cit
y;at n;a
y;e jAt;AH
dyum;at agne
m;ahi ;A
syAma y;e
y;at agne
y;at sIm
v;izve Ut;I
;A ca
ah;am asmi
div;aH cit
n;a y;avase
h;otA n;i
s;Uryasya iva
sTir;am m;anaH
v;aruZaH vA
m;ahi z;arma
s;adA naH
priy;aH s;Urye
y;e tvA
pr;a n;u
t;am vaH
t;ava ty;e
pit;uH n;a
pr;a te
v;izvAH ;it
aB;i ark;AH
;A jiGarti
n;a j;anayaH
;azvyam paz;um
;anuziSwaH ;A
;A vaha
vratap;AH uvAca
y;aTA ;asaTa
s;am y;at
asm;at ;A
y;aH vaH
s;adam ;it
qBukS;AH v;AjaH
;A satsi
s;Uryam ;A
dev;AH am;qtAH
et;A v;izvA
n;avagvAH qt;am
pit;A naH
v;Ajasya sAt;aye
cit te
ca naH
naH ut;a
naH svast;i
y;adi ;it
;A eSu
pit;A mAt;A
y;e te
n;a vidm;a
pAtu ;aMhasaH
v;AtaH y;aTA
ut;a vA
v;izvasya h;i
pr;a vaH
;aCa vada
y;e ca
h;i m;Am
;upa naH
;ApaH ;oSaDIH
;it asya
k;im ca
t;at naH
;anu h;i
v;AjAH ;ut
n;a r;odasI
minanti vrat;Ani
v;i rAjasi
m;A v;i
im;am yajY;am
agn;iH div;i
agn;iH ca
t;at ;A
cit n;u
dvip;ade c;atuSpade
dev;An vakSi
v;i zrayaDvam
pr;a naH
ca dev;An
jy;otiSA ;A
;indraH ca
t;e te
;iSam ;Urjam
mitr;aH vA
vAm narA
y;at indra
varD;ayanti ca
;A ut;a
k;asya cit
aB;i pr;a
;apa veti
p;unar ;A
k;im mA
im;A v;izvA
vAm mitrAvaruZA
tv;am eSAm
jAspaty;am suy;amam
;avasA ;A
zuB;e y;at
;A dev;An
y;aH agn;iH
B;ava naH
v;aruZaH mitr;aH
p;arvatAn ap;aH
m;artyeSu ;A
agn;iH h;i
v;i cakrame
k;aH vAm
yajY;am aB;i
asm;Akam boDi
r;aZan g;AvaH
tv;am naH
v;izve te
;A agne
indra ;A
y;at k;im
n;a te
iva razm;ayaH
indra zrav;Ayyam
pr;a bravAma
n;a y;e
;upa vetu
k;im te
p;anTAm ;anu
y;e azvad;AH
t;e h;i
naH ;A
ha y;at
div;i iva
agn;iH jAt;aH
s;arvA t;A
t;ava z;arman
veti me
;A naH
;upa yantu
m;anave gAt;um
yAhi agne
id;am v;acaH
B;uvanam v;i
azvinA yuv;am
ca y;at
n;a g;AvaH
ev;a te
z;arma yaMsat
v;izvasya B;uvanasya
naH indra
;A Bara
n;a vqSw;iH
dev;AnAm dUt;aH
tok;Aya t;anayAya
;aDa y;at
y;aH p;atiH
tv;am deva
t;at ;okaH
naH mitr;aH
bqh;at v;ayaH
m;Arutam gaZ;am
ca agn;iH
tv;Am g;iraH
saty;am ;it
yajY;am azv;inA
tv;am aVg;a
