citr;ABiH Ut;iBiH
v;i yantana
;ava spqDi
ty;A puruB;UtamA
p;ari dy;AvApqTiv;I
r;AjAnA dIrGazr;uttamA
y;at te
u s;u
m;adaH v;qSA
Ut;aye agn;im
zat;A ca
prayat;i aDvar;e
;indraH v;i
v;E u
h;avante v;AjasAtaye
mA ih;a
dAn;A mahn;A
pr;a u
s;am Im
t;at vaH
;it me
m;AnuSe j;ane
y;at Badr;am
urviy;A v;i
naH deva
te s;ADiSWaH
;it n;u
mah;aH rAy;aH
agne aVgiraH
v;i dv;iSaH
h;i ;asi
v;izve h;i
z;am hqd;e
;A pur;u
ay;am y;aH
cit y;am
pr;a drava
h;i te
ah;am agne
savit;A B;agaH
n;a ;it
sapr;aTAH asi
naH agne
k;aH vaH
v;izveBiH dev;eBiH
syAma p;atayaH
;Ivat ;A
;ataH cit
s;u naH
y;am n;araH
vAm m;aDumat
prAtary;AvaBiH ;A
asi ;A
s;a u
h;i ;asti
t;at ;it
r;ADaH ;ahrayam
duhitar divaH
y;aH u
pr;ati tv;am
;aDa te
d;ampatI s;amanasA
varDaya y;e
div;aH ;A
vA y;at
;azvAH iva
n;a y;asya
aDvar;eSu ;IxyaH
B;agaH svast;i
cit naH
cit uruc;akrayaH
ih;a ;A
s;a h;i
y;aTA vid;uH
dev;aH savit;A
tvA saj;oSasaH
me azvinA
yanti s;inDavaH
h;i s;aH
;ApaH iva
v;qSA m;adaH
;upa sedima
satsi barh;iSi
n;i barh;iSi
gantam rizAdasA
naH rAsva
vqtrahantama j;anAsaH
y;aH z;aMsate
y;A te
;At ;it
n;a n;Avam
d;ivA n;aktam
n;amasA ;A
cit h;i
eSAm v;i
paz;um ut;a
madir;am m;aDu
putr;aH n;a
;upa vaH
ev;a indrAgn;iByAm
t;asmE u
y;at nUn;am
t;A naH
pit;A vaso
u t;at
s;omaH ay;am
gr;AvA v;qSA
v;izvAH ;ati
yajY;am iSw;aye
ar;An iva
;aCa n;a
;it u
p;atayaH rayIZ;Am
par;aH manIS;ayA
im;am naH
naH ray;im
;indraH y;at
min;anti svar;Ajyam
dev;AH ;anu
iva y;at
Irm;A any;at
v;izvAsu h;avyaH
pad;A iva
Bara ;A
;indraH y;aH
z;arDAya m;ArutAya
rarim;a te
n;a DAyi
DIB;iH saparyata
v;AryA pur;u
z;arma yaCata
ty;at Azv;azvyam
y;aH im;A
;A aruhat
y;at vAm
v;qSA h;i
t;A te
v;i ;ojasA
ut;a dy;Am
u te
nUn;am eSAm
v;izvA vAm;Ani
s;a m;artyaH
;A y;e
cit adrivaH
r;aTeSu vaH
;ahA iva
dev;An ;A
;A ita
mitr;aH aryam;A
v;qSaZam huve
;A ihi
;anu tvA
t;am ;A
cit m;ahi
h;i tvA
viDema vay;am
;avaH v;areZyam
n;akiH ;A
n;u asya
iva pr;ati
devayajy;ayA agn;im
h;otA iva
;ati dv;iSaH
v;i s;u
n;i sedire
s;UryaH n;a
zr;avaH ;A
n;a daMs;anA
y;ajamAnAya sunvat;e
id;am naH
t;am agne
pr;a t;am
;A ih;a
tvA vqZImahe
t;at agne
naH yajY;am
s;a naH
n;amoBiH vA
c;aranti y;e
tv;Am ;it
;A huve
br;ahmAZi v;arDanA
;A gata
tvA havAmahe
k;aH v;ipraH
;it h;i
Bara y;at
dy;OH iva
;A yAtam
ty;am cit
dev;I ;aditiH
s;a Datte
y;at n;a
y;at agne
y;at sIm
;A ca
div;aH cit
stot;qByaH ;A
indra naH
n;aptre s;ahasvate
t;am indra
pr;a sma
y;e tvA
pr;a n;u
te vart;A
t;am vaH
t;ava ty;e
pit;uH n;a
;upa stuhi
pr;a te
ca ;aCa
;it vqtrahantama
;azvyam paz;um
y;at pUrvy;am
;A vaha
mitr;am n;a
asm;at ;A
;AyuDA r;aTeSu
y;aH vaH
ca t;am
nUn;am vAm
;A satsi
z;avase pr;a
me g;iraH
zyen;A iva
g;omati vraj;e
parAv;ati y;at
dev;A dev;eSu
im;am agn;im
zuzrUy;Atam im;am
haMs;O iva
v;Ajasya g;omataH
adrivaH ;A
n;i h;otAram
y;aH ;ohate
cit te
ca naH
vay;am t;e
naH svast;i
;A eSu
sm;at sUr;iBiH
iva v;izvam
somapate piba
y;e te
t;uBya ;it
pAtu ;aMhasaH
ut;a vA
agn;iH dev;eSu
pr;a vaH
kqt;am naH
agne Ahuta
sahasaH sUno
;aCa vada
y;e ca
y;at arvAv;ati
;upa naH
;it asya
h;otA y;aH
ih;a ty;A
rocan;At ;aDi
dev;AsaH dUt;am
t;at naH
te g;iraH
y;asmE tv;am
n;a r;odasI
v;i rAjasi
tir;aH cit
m;A v;i
yajY;eSu pUrvy;am
t;at ;A
y;aH ;ekaH
dev;An vakSi
z;aMsate stuvat;e
saj;oSasaH dev;AsaH
pr;a naH
;iSam ;Urjam
;indraH ca
t;e te
aryam;A ut;a
d;asrA h;iraZyavartanI
vAm narA
y;at indra
nUn;am Imahe
;A ut;a
cit me
aB;i pr;a
;A rudrAsaH
im;A v;izvA
B;Uri n;Ama
vAm mitrAvaruZA
;A dev;An
y;aH agn;iH
juS;eTAm yajY;am
B;ava naH
v;aruZaH mitr;aH
m;artyeSu ;A
agn;iH h;i
pIt;aye ;A
v;i cakrame
asm;Akam boDi
tv;am naH
uz;anA y;at
v;izve te
;A agne
asy;a s;omasya
indra ;A
;A tv;Am
n;a te
y;at ;indraH
t;e h;i
azvinA y;at
naH ;A
ha y;at
;indraH v;iSZuH
v;izvaH dev;asya
s;arvA t;A
ihi naH
;A naH
agne n;a
id;am v;acaH
pUrvy;am gir;A
;A pr;a
azvinA yuv;am
vAm vqSaZvasU
Irate t;ava
n;a g;AvaH
ev;a te
naH indra
mahn;A t;at
;A Bara
;aCidram z;arma
tok;Aya t;anayAya
nah;i tv;at
;aDa y;at
te p;ari
h;otAram Ixate
;anDasaH aB;i
v;qSA s;omaH
naH mitr;aH
pur;aH daDe
h;otA mandr;atamaH
bqh;at v;ayaH
suzipra dampate
m;Arutam gaZ;am
saty;am ;it
naH boDi
vay;am te
asi n;a
h;i sma
;A dade
;amavat z;avaH
ur;u jr;ayaH
y;at cit
s;a tv;am
te z;avaH
jy;eSWam ca
agne aDvar;am
ay;am sut;aH
v;izve saj;oSasaH
s;am iDImahi
barh;iH As;ade
br;ahmaZaH p;atim
pruSit;apsavaH v;ayaH
;A gatam
v;qSA gr;AvA
;UrjaH napAt
v;i dAz;uSe
y;at vA
m;artyaH y;am
y;at ant;arikSe
vqZImahe vay;am
ur;u kS;ayAya
jagmuH Az;asaH
mah;aH rAy;e
mitr;aH v;aruZaH
ut;a naH
raT;IH iva
;ut y;at
;A yAhi
ant;arikSe ;A
te indra
n;a s;a
;upa dy;uBiH
vaH marutaH
div;aH n;a
t;ava ah;am
pr;a ;it
naH gantam
r;aTAn iva
s;ahasaH sUno
tvA kave
;it tvA
n;a t;asya
z;am y;oH
s;UraH arc;iSA
k;arhi cit
indra aB;i
ark;AH anUSata
tv;am h;i
u naH
;A agaCatam
t;A h;i
tv;am ;ekaH
tv;Am agne
cit rocan;At
iva pr;a
ut;a me
te vay;am
sunvat;aH vqD;aH
;A gahi
m;anaH ut;a
m;ahi zr;avaH
y;at vaH
cit azvinA
cit zuzrUy;Atam
;A ant;arikSAt
ev;a h;i
v;izvA jAt;Ani
r;aTam ava
r;ADAMsi ;ahrayA
vA div;aH
v;astrA iva
y;at ca
n;u m;Arutam
vraj;am n;a
rAsva suv;Iryam
Gqt;am n;a
;it v;E
r;aTam n;a
te v;qSaZaH
v;aruZa m;itra
naH aB;i
zuBaH patI
;A s;a
v;ayaH n;a
r;odasI ;anu
dev;am m;artAsaH
vqD;e ;A
y;aTA cit
n;a y;aH
;asti h;i
naH v;izvAH
p;iba sut;asya
m;A u
y;aH me
s;Uryasya razm;iBiH
k;at u
aB;i vaH
ut;a y;at
k;aH n;u
asm;in yajY;e
cakr;am n;a
cit eSAm
y;aH asmE
vaH ady;a
ut;a ty;at
sut;e raZa
DAyi darzat;aH
t;AH asya
vart;iH yAtam
;upa bruve
;A vAm
y;aH im;e
div;aH bqhat;aH
te adrivaH
g;AvaH n;a
pr;ayasvantaH havAmahe
yUT;A iva
s;ADiSWaH ;avase
y;at ha
y;at Im
m;ayaH karat
;api k;arZe
vitar;am v;i
y;am ;invasi
durit;A ;ati
asy;a kr;atvA
par;aH y;at
agn;im prayat;i
me marutaH
y;uvA s;a
me ;A
y;aH te
r;odasI uB;e
;upa pr;a
santu z;aMtamA
;A paz;um
;ataH naH
vakSi y;akSi
uruSy;a naH
iva ;anu
jihv;ayA ;A
p;unar vidv;An
neSaTa sug;am
y;aH tvA
t;am u
t;am tvA
rAy;A p;arIZasA
ut;a tvA
puruBujA y;at
v;izvA y;aH
ziv;aH Bava
asm;aByam z;arma
zruD;i h;avam
y;aH naH
h;i saty;aH
agne Ut;iBiH
me zqZ;avat
daz;aBiH sah;asrEH
vA Ga
pqTivy;Am ;aDi
vAm;Ani DImahi
y;avam n;a
v;i BAti
y;at ;azvAn
dev;AH dUt;am
ur;u naH
t;e hinvire
me h;avam
av;aH div;aH
vAm nad;InAm
vIxupav;iBiH marutaH
pr;a s;u
indra te
h;otAram tvA
h;i agne
s;a pr;a
t;A vAm
zatakrato n;i
;ati parSi
t;at astu
indra asi
r;aTaH n;a
tv;am ap;aH
s;a dev;eSu
v;i y;at
y;akSi ca
cit s;a
naH asy;a
v;i ant;arikSam
m;A naH
;atyaH n;a
m;AnuSA yug;A
t;am h;i
h;antav;E u
indra p;OMsyam
mahat;e s;OBagAya
Bara tv;am
t;ava Ut;iBiH
;indraH qBukS;AH
gOr;O iva
sv:arvatIH ap;aH
vaH devayajy;ayA
daDir;e pur;aH
naH pr;a
k;aH can;a
yajY;am ;A
s;u me
v;qSZi te
t;A y;Aman
ay;am agn;iH
v;ayaH vahantu
v;Ajam darSi
ap;aH sv:ar
viz;Am agn;im
saD;asTe ;A
g;omatIH ;iSaH
pAt;am naH
suv;Iryam ut;a
asy;a B;uvanasya
y;A cak;arTa
;ekaH ;it
s;arvayA viz;A
r;atnAni dAz;uSe
naH ;indraH
dqX;A cit
tvA v;qSaZam
n;a pUt;am
u ty;e
naH sut;am
;A y;at
tv;am agne
vay;am syAma
;ut Im
zqZ;avat h;avam
y;at tvA
sv;e kS;aye
havyav;AhanaH agn;im
s;a h;otA
;it et;e
;aDa h;i
;A gamat
varuZa mitra
me st;omam
t;at eSAm
vIr;avat y;azaH
y;at ady;a
puroy;AvAnam Aj;iSu
n;a putr;aH
pr;ati zvas;antam
m;itra ;aryaman
cit asya
m;aDvaH ;anDasaH
y;at tv;am
naH v;izve
n;amuceH z;iraH
mandr;atamaH viz;i
p;arvatam gir;im
vA y;asya
;A vivAsati
sut;An ;upa
aMh;oH cit
ay;A Diy;A
