saMg;iram m;aryaH
vic;akSAZaH viroc;ayan
datte s;am
asTAt et;e
s;ana ca
dev;AnAm ut;a
m;aDu ;A
eS;a n;qBiH
id;am uttam;am
barh;iSi priy;aH
pavasva dizAm
sumn;e iS;ayan
pIy;USaH p;avasva
B;uvanAni v;i
v;ane pUrv;IH
m;aDu priy;am
pIt;aye v;qSA
vA ad;aH
namasy;antIH ;upa
p;avamAnAsaH akramuH
asTuH r;akSaH
akSaraH svAd;uH
jajYAn;am j;enyam
;adAByaH d;aDAti
pad;A varAh;aH
sUn;uH mAt;arA
yUTy:aH v;qSA
yAsi g;onAm
;AyuDAni b;iBrat
kqDi s;amidDaH
s;oma v;izvA
s;antA praTam;am
pinvate pad;am
hinvAn;AsaH r;aTAH
;anu D;Ama
vqtr;AZi sakS;aZiH
prasav;e te
dyumn;avattamaH ;A
sAhv;An indo
;indum ;indre
s;a s;Uryasya
BandanAyat;aH p;iba
duSk;qtaH sah;asraDAre
v;ajraH ca
vyazvav;at p;avamAnAya
r;ajaH et;e
v;izvA aB;i
n;i z;uSmam
aYj;ate v;i
janit;A viB;UvasuH
B;uvanasya pate
p;uraH rurukS;aZim
;avyam Az;avaH
h;arayaH camUS;adaH
t;anA kqZv;antaH
;UDani GqZ;A
v;i rocaya
svAd;uH pavasva
k;Avyena v;i
naH gov;it
t;ena pavasva
pAvak;aH ucyate
miTun;AsaH n;ikAmAH
ut;a dy;OH
m;antavaH ;apa
s;a s;uSwutaH
n;a yujyate
praTam;am y;at
dev;asya matsar;aH
y;ujyAya s;omam
yemAn;aH ;adriBiH
param;e vy:omani
g;oBiH v;qSaZam
t;qptiH ca
t;am AhuH
pracet;ayan arSati
;Asate k;Amasya
;anUSata ;ayohatam
s;am aranta
yuts;u praTam;aH
div;i ;A
sanut;ar hurazc;itaH
sapt;a s;inDavaH
syAma pqtanyat;aH
mqjy;amAnAH g;aBastyoH
j;anA yAt;ayan
h;ariH Gqt;asnuH
ripr;am ;aviH
manIS;I aMz;oH
cit t;akave
m;aDumantam pav;itre
jan;ayan ;indrAya
y;atra braDn;asya
yAti svaD;ayA
Danva braDn;aH
c;Arum z;arDAya
vicarSaZe ;A
ady;a v;arivaH
ev;a deva
qt;asya gop;AH
sIdata daDn;A
kqSwih;A iva
