nit;ozanam vqSaB;am
ca BUvan
bADante t;amaH
dev;AnAm ut;a
m;adaH pqtanAS;Aw
baBr;iH v;ajram
agman ;upa
gaCatam s;aKAyO
n;a ;arvA
pAvak;ayA juhv:A
ugr;am ajury;am
v;izaH ;ayanta
m;artasya v;i
b;qhasp;atiH AVgiras;aH
c;umurim indra
agn;im h;otAram
indra barh;aZA
aps;u s;a
maG;onAm m;aMhiSWA
vasavaH rudriyAsaH
agn;im aBarat
paT;iBiH indra
g;AH ;anu
m;artyasya vanuSyat;Am
;iBam dy;otanAya
dev;AH aB;i
barh;iSi mAdayeTAm
Izata m;A
m;artam uruSy;ati
sv;e s;adane
qjISin v;arDAn
razm;ayaH g;aBastyoH
ugr;A viGan;inA
s;am s;OBagAni
vididyutAn;aH akS;are
dad;Ara v;aDIt
yajaDvam ;A
param;e vy:omani
h;otA yakSat
bqh;at tatanTa
y;ajaDyE v;epiSWaH
saKy;A vezy:A
h;eSasvataH zur;uDaH
n;a maGavan
naH indra
h;arayaH k;arma
y;Ani dAD;Ara
m;artaH duvasy;et
h;arayaH v;ahiSWAH
sT;avirasya G;qSveH
somap;eyam ;upa
vay;am u
vIry:Aya ;ekaH
puruBujA deSZ;am
yAtam dr;aviZaH
hotar doS;A
naH arvan
vanv;antaH ary;aH
m;artaH vaD;Aya
mandr;atamam arkazok;EH
gqZ;antaH Bar;advAjAH
s;Urye n;a
t;at naH
r;aTaH m;anojavAH
m;aDu iy;am
t;asya sacan;asya
s;A n;u
tan;USu badD;am
h;i vidm;anA
s;Uryasya k;Amena
br;avat pUSZ;aH
ary;aH tasT;O
maG;onaH ;asat
m;anye s;ahaH
ev;a vidm;a
dyumn;ena s;a
t;ava sv;Am
t;arutraH y;aH
n;i sasAda
BIm;aH dayate
ajury;aH dayate
vIr;am pr;ayatadakSiZam
z;avasA ut;a
yug;A s;Idat
acyutacyut dasma
s;Uryasya sAt;O
arv;AV ;aram
vAm ;indrAgnI
huvema j;anam
candr;am ray;im
p;azyan ay;am
deva dev;AH
rudriyAsaH rakSoy;uje
t;A naH
s;anti purusp;qhaH
v;izaH anayaH
agn;eH durv;artuH
dev;ahUtO cak;Ara
pqTv;Im sady;aH
yuy;oDa ;indra
carSaZIn;Am pr;etISaZim
y;Am pUSan
;asti ukT;am
daDir;e pur;aH
agn;iH jan;uSA
g;AH indra
mahitv;am GqtAnnO
p;uruhUta purUvaso
indra ;A
sepuH mah;aH
pavate c;AruH
ady;a p;ari
;agne itT;A
priy;A n;amasA
j;anaH B;Ut
yAhi vidv;An
riSat m;AkIm
;aCa yajY;ena
y;an ;A
p;Urve jarit;AraH
titirvaH ;upa
y;ena n;avantam
s;avImani zr;eSWe
s;UraH cakr;am
Kily;e n;i
kr;atvA viB;Ati
mAyinA BUtam
padyate n;a
r;odasI y;ajaDyE
h;otA praTam;aH
mantumaH t;at
cakAra kad;A
m;AnuSIZAm ;ekaH
pAvak;aH n;u
zriy;e te
n;a yamasAn;aH
s;aketAH ;ekam
pratn;ena y;ujyena
sAk;am nqmZ;EH
sup;aTA p;arvateSu
aBavat dev;ahUtiH
juj;oSa DIt;iBiH
aznuvantu pr;a
sp;qDaH vanate
;ohasA n;a
suv;IrAH y;A
dev;O saKy;Aya
j;asuraye vadm;A
n;a v;i
asti v;i
deva sAD;avaH
gqZIhi namasy:eBiH
dad;Aza DiSaZe
z;amIBiH qD;advArAya
DAyi v;izvam
t;anayAya pazv;aH
;apibaH virapzin
z;aMsyam kariSy;an
n;a vIr;AH
y;at g;arBam
rAy;e Dehi
t;antum n;a
sqjE iy;aDyE
D;avIyAn qZ;aH
pUrt;im azyAm
yanti van;inaH
ca enam
z;UraH vA
anuy;Ati B;arvan
v;izvA B;uvanA
citr;am ark;am
yAt;am n;amoBiH
vAm;am ;ut
B;Umim ;A
cakry:oH zUra
y;at n;amasA
s;atvA ;A
n;a b;iBrati
asm;An indra
n;a v;AjasAtaye
asya vart;A
stuvat;e kIr;aye
p;arAZi pratn;A
m;anuSaH v;izaH
;aDa deva
;ajYAyi tir;aH
vqSaB;am d;azadyum
v;i yanti
rAy;A madema
dUr;At s;UryaH
v;acoBiH t;at
m;artAH am;qtasya
ev;a ;iti
h;iraZyavartaniH vqtraGn;I
h;i sma
s;a priy;aH
yakSi saMd;qzam
prad;ivaH ;asti
vAm yajY;aH
upavakt;A iva
asy;a vAm
;iti ca
samudr;am ;ati
ray;im gqZat;e
ca kqSZ;am
ev;a can;a
;AryA hat;aH
m;qDaH jahi
aDvarIyat;Am ;agne
p;ArTivasya j;agataH
mitrAvaruZO ;aDqSwam
pr;ati vasto
h;otA n;i
y;e n;qtamAsaH
aB;Ivqte Gqtazr;iyA
;ava yAsat
te zoc;iH
praTamaj;AH qt;AvA
t;at n;a
y;asya d;ivam
h;avyaH carSaZIn;Am
;azvEH m;anojaveBiH
m;anyamAnam eBy;aH
B;Uri pazv;aH
r;etasi ;upa
sat;e vahasi
gop;AH am;qtasya
;indraH k;am
v;i jAnAmi
z;uSZam ;indraH
j;oSam ugra
urv;I s;aH
par;astAt h;astam
amin;aH s;ahoBiH
;amartyaH avatu
n;a pr;ati
;ekaH kqSwIn;Am
y;e te
ukSayanta dyum;antam
janayasva yajY;EH
s;a y;aH
kav;im codayaH
pqTivy;Am z;UrasAtO
sak;qt zukr;am
k;aH asy;a
zradD;ABiH mandasAn;aH
pUrv;IH pur;u
agne raT;inaH
y;O apnasT;aH
rudr;asya vqjyAH
ugrA y;aH
aj;AH any;asya
Amitr;aH vy;aTiH
agn;aye s;a
ha s;iSvap
aB;IzUn iva
boDi purox;Azam
;adabDeBiH savitar
y;otoH pr;a
naH sah;asraBaram
barh;iH agn;O
inuh;i varD;aya
sahasaH y;ajatrEH
t;ugram z;azvat
;indrahUtim p;anyasIm
baB;UTa suh;avaH
mahim;A pqTivy;AH
vqtrah;aZam g;aBastO
yajY;iyAsaH kS;Ama
dad;uSAm z;arDaH
h;i ;asaTaH
d;asyUn B;UyaH
AByaH ;aradaH
p;ari tqnDi
z;uSZaH ur;u
v;qkAya ar;aye
g;Aya ca
sanema m;adema
tanvat;e n;araH
z;avasA zUzuv;AMsam
zr;avaH Apan
suprAyaZ;atamam uttAn;ahastaH
v;i ant;arikSam
pqTiv;Im mAt;aram
enam dev;ahUtiH
syAt y;eSAm
;ArayA tuda
vakSy;Ami k;im
citr;atamam vayoD;Am
iva bAh;U
dy;OH n;a
div;aH agne
y;e s;ahAMsi
v;asunA d;am
;indra mah;A
y;aH enam
asm;at tigm;AyuDO
ajara vIt;I
avanoH ;AryAya
z;ucivrate r;AjantI
asmE mam;atA
tv;am h;i
g;aDyasya sAt;O
prad;ivi y;aH
;avaH iC;amAnaH
