z;izIte ;ati
mar;utAm v;izvam
tuvinqmZ;am m;A
z;arDAya G;qSvaye
h;iraZyam iva
gAyatr;am ukTy:am
putr;am n;a
m;artyam riS;aH
sr;iDaH Gn;antaH
riS;aH ;ariSwaH
qYjate pr;a
pqTivy;AH kv:a
nUn;am k;at
ayugDvam pr;aSwiH
m;artAsaH sy;Atana
v;i ;AzAH
t;anA yuj;A
t;am agn;im
Ayan B;avanti
pr;a m;AnuSAH
vqdD;AH asan
dasra mantumaH
rAjasi s;a
;ariSwaH s;arvaH
DUtayaH z;avaH
n;iH iyAya
saj;oSasaH gAT;apatim
sTir;AH vaH
;apa sma
dUr;am ;aDi
;A rudr;iyAsaH
m;Anam ;asyaTa
eSAm vqSw;iH
v;Aje Baja
t;am yuyota
y;AH te
upastut;aH y;am
jIv;ase vid;AH
y;asmin ;indraH
mAdayADvE ;asti
y;at sTir;am
nayantu naH
m;anma dvit;A
gqZImasi v;asUni
s;Urye n;a
dev;eSu y;azaH
any;e ;Ixate
yUy;am pqznimAtaraH
asmaDr;uk y;aH
tvA dev;AsaH
santu nem;ayaH
m;AnuSAH m;arutaH
vAG;ate d;adAti
vahati r;ohitaH
sv;aBAnavaH ih;a
vrat;A Druv;A
nUn;am br;ahmaZaH
k;asya kr;atvA
h;otrABiH agn;im
vaH b;alam
n;a ;atra
vada t;anA
;A s;adma
br;ahmaZaH p;atim
y;ena pit;Qn
y;aTA pur;A
pr;a u
;ut tiSWa
y;at ha
r;oDasvatIH ;anu
dev;AH yajY;am
vaH makS;u
sAt;O upastut;am
;aDi y;at
k;azAH h;asteSu
n;qByaH n;AriByaH
v;AjeSu santya
m;anuSaH s;am
sUy;avasam naya
v;izvA s;aMgatAni
naH s;a
vidaH zagD;i
supr;atUrtim aneh;asam
y;at z;arDaH
y;eSAm ;ajmeSu
n;avyaH zriy;e
s;adam ;it
pr;a yAta
naH ;aditiH
;akqZvata tv;e
qSw;iBiH sAk;am
r;ocate zr;eSWaH
vAm;A vaH
dev;AH ;okAMsi
zaMy;oH sumn;am
aYj;iBiH vAG;adBiH
t;asya dvayAv;inaH
mitr;asya aryamZ;aH
Im itT;A
y;aTA g;ave
r;AjaBiH Bay;e
AD;qSe pr;a
mimIh;i zl;okam
dIrG;am pqT;um
;asAmi DUtayaH
k;am yATa
zr;avaH t;asmE
vaH z;atruH
vaH Gn;antam
iva p;iprati
asti vajr;iZaH
sma t;am
durm;adAH iva
aB;i vAvazre
tvA v;aruZaH
cit ;A
upabrUt;e D;ane
mahADan;e n;a
pUS;aZam meTAmasi
zizIh;i pr;Asi
;Urjam aB;i
pAh;i DUrt;eH
pratih;aryaTa naraH
darzat;am mimIh;i
vqtr;am ataran
suB;age yaviSWya
;iSaH dIdiyuH
naH p;arA-parA
mar;utaH s;am
sqjata dv;iSam
s;a r;atnam
vAj;ini iva
iva r;ocate
tvA dUt;am
ukTy:am y;asmin
;A vaH
asya vart;A
vajr;iZaH y;am
h;i te
etu br;ahmaZaH
sUn;qtA ;aCa
v;asuH z;am
n;a asya
B;ava v;AjeSu
dev;An v;izvAni
s;ahaH n;i
n;a navajvAr;aH
Bay;e cit
p;arasmin D;Aman
dev;attam br;ahma
h;i sma
anarv;AZam raTez;uBam
t;avyase voc;ema
;ajoSyaH paT;A
dUt;am vqZImahe
suv;IryA t;am
spqzanti BAn;avaH
saty;am tveS;AH
n;iDAtoH n;a
ut;a pratiSk;aBe
k;aZvaH ID;e
B;avanti saty;A
mar;utaH sud;AnavaH
s;u naH
;avaH vqZImahe
naH y;aH
s;UryaH h;iraZyam
pAhi ;aMhasaH
k;aZveSu vaH
y;am bAh;utA
y;at aYj;iBiH
siSakti y;at
;asti h;i
y;am yajY;am
pit;Qn ;acodayaH
haT;a n;araH
marutaH ;A
brahmaZaH pate
naH pAhi
;upa kSatr;am
s;a naH
rizAdasaH yuSm;Akam
ty;am paripanT;inam
many;ave j;ihIta
padISw;a t;qSZayA
zoc;iH n;a
y;azaH m;artAya
j;anAsaH agn;im
;ajmeSu pqTiv;I
;aDi n;i
iva d;evAsaH
k;am ha
pr;a yaMsi
cyAvayanti y;AmaBiH
s;arvayA viz;A
UrDv;aH u
naH Ut;aye
n;a m;Anam
parAZ;ude vIx;u
nazat s;a
D;Aman qt;asya
j;anAn acucyavItana
naraH v;izvA
;arAvZaH pAh;i
;abIBayanta m;AnuSAH
;arAtayaH juhuranta
iva z;uBaH
kavIy;an vraj;am
durh;aZA vaDIt
sTir;am haT;a
;Apyam tv;am
t;at te
gm;aH ca
;antam n;a
iyAya zr;iyam
pr;ati voce
m;artyasya mAy;inaH
biBqTa sudAnavaH
zr;utyasya rAjasi
cit Ga
jy;otiH j;anAya
vay;am eSAm
v;asAnAH amqtatv;am
naya sug;A
D;anAni suS;aZA
dad;a pracetasaH
s;am atr;iZam
m;eDyAtiTim agn;iH
y;akSi dev;An
durukt;Aya spqhayet
sUn;aram v;asu
iva vidy;ut
n;a g;AvaH
dId;eTa k;aZve
yaviSWya v;izvam
s;adma p;ArTivam
ukTy:am v;andasva
pad;A aB;i
yajY;am nayantu
im;Am ca
u s;u
pazuv;arDanAya m;anma
soma z;atrUn
d;evAsaH s;arvayA
yAt;a Im
meS;Aya meSy:e
agn;iH k;aZvAya
s;u mAdayADvE
n;a ;arBe
jahi ;arAvZaH
v;qkaH duHz;evaH
r;asasya vAvqDe
m;anuH daDe
yahv;am purUZ;Am
iva tatanaH
yuSm;eSitaH marutaH
v;aruZaH mitr;aH
sma vay;am
ha bruvate
m;antram devAH
y;aH vAG;ate
v;izvam s;aH
mAt;uH n;iretave
dAzv;An pasty:ABiH
vaH sm;asi
aBijY;u y;Atave
;aDa naH
am;qtasya p;arasmin
p;avamAna b;ADase
vid;aTeSu zamB;uvam
vA j;iGAMsataH
r;udrAH ;avaH
n;ABA soma
jahi ;apa
devav;ItamaH v;i
