vqSaB;am vAvqDAn;am ;akavArim
mar;utvantam vqSaB;am vAvqDAn;am
ugr;am sahod;Am ih;a
tanv:A mah;e n;a
v;aruZaH mitr;aH agn;iH
zAs;am ;indram vizvAs;Aham
v;izvA veda j;anima
viz;Am kav;im vizp;atim
t;asya vay;am sumat;O
div;aH ;indraH pqTivy;AH
;indra pr;a naH
;indram vizvAs;Aham ;avase
vAvqDAn;am ;akavArim divy;am
t;apuSim het;im asya
mah;e n;a stot;Aram
B;uvanasya r;AjA s;a
;api Badr;e sOmanas;e
naH ;A Bara
barh;iH y;ajamAnasya sIda
;A tvA vahantu
sahod;Am ih;a t;am
;ekaH v;izvasya B;uvanasya
qSv;am aj;aram y;uvAnam
brahmadv;iSe t;apuSim het;im
sumat;O yajY;iyasya ;api
aB;i vakSi v;Ajam
vats;am n;a mAt;araH
;ahan ;ahim pariz;ayAnam
n;UtanAya ugr;am sahod;Am
ih;a t;am huvema
s;am mimIhi zr;avAMsi
Druv;aH ;A n;iSattaH
r;akSa ca naH
dADAra pqTiv;Im ut;a
r;ADase tanv:A mah;e
stot;Aram nid;e karaH
;akavArim divy;am zAs;am
uS;asaH y;Aman akt;oH
pqTiv;Im ut;a dy;Am
;indram n;a tvA
;A id;am barh;iH
s;a tv;am naH
bqh;antam qSv;am aj;aram
;it n;u asya
y;at ady;a tvA
h;i ;anDasaH r;ADase
asmadry:ak s;am mimIhi
;anDasaH r;ADase tanv:A
n;a stot;Aram nid;e
yajY;iyasya ;api Badr;e
;apa dv;eSAMsi ;A
kqt;am cit ;enaH
vizvAs;Aham ;avase n;UtanAya
;avase n;UtanAya ugr;am
id;am barh;iH y;ajamAnasya
s;a mandasva h;i
Badr;e sOmanas;e syAma
mandasva h;i ;anDasaH
;A naH Bara
v;izvasya B;uvanasya r;AjA
;aCa bqhat;I manIS;A
zqZutam h;avam me
te sumn;am Imahe
;ahim pariz;ayAnam ;arZaH
vay;am sumat;O yajY;iyasya
z;avasaH p;atim ;indram
r;odasI cit urv;I
divy;am zAs;am ;indram
;ut iyarti v;Acam
t;am u te
