pAt;am s;omam qtAvqDA
s;omAH sut;AH im;e
s;aKe vaso jarit;qByaH
Gqt;am n;a pUt;am
t;u asy;a girvaZaH
y;aTA naH mitr;aH
u s;u naH
v;ahatAm indra kez;inA
br;ahma ;indrAya vajr;iZe
;A t;u naH
iva tm;anA agn;im
;indra pr;a naH
tvA vavqmahe dev;am
gahi ;A t;u
n;apAtam suB;agam sud;Iditim
y;aH im;e r;odasI
;indram s;omasya pIt;aye
uB;e ;A paprO
t;u naH indra
varDantu naH g;iraH
tv;Am agne manIS;iZaH
n;Akam ;A aruhat
sumn;am Imahe im;am
cit ;A te
karamB;iZam apUp;avantam ukT;inam
naH ;A Bara
vidm;a h;i tvA
;A paprO r;odasI
y;aH te adrivaH
dev;am m;artAsaH Ut;aye
p;iba t;u asy;a
naH ;A gahi
barh;iH sadaH m;ama
;indram vqtr;Aya h;antave
vats;am n;a mAt;araH
s;ahasaH sUno Ahuta
v;izvAH aB;i zr;iyaH
tv;am naH asy;AH
pr;Ak ;apAk ;udak
DAn;Avantam karamB;iZam apUp;avantam
y;am te zyen;aH
;indrAgnI ;A gatam
;A naH yajY;am
;A u s;u
m;A u s;u
Ga ;it agne
;A id;am barh;iH
s;a tv;am naH
;aDa te sumn;am
tv;am naH agne
;A gahi ;A
id;am barh;iH sadaH
h;otA dev;aH ;amartyaH
pit;uH n;a putr;aH
h;i tvA DanaMjay;am
s;aKA iva s;aKye
t;uBya ;it indra
pr;a ;it u
B;ava naH suzr;avastamaH
;A naH Bara
te sumn;am Imahe
Gqt;EH g;avyUtim ukSatam
paprO r;odasI mahitv;A
pr;a vepayanti p;arvatAn
