t;am tvA v;iprAH
;A t;u naH
dy;Am ut;a im;Am
yuv;am h;i sT;aH
y;aH im;e r;odasI
;indram s;omasya pIt;aye
im;am naH yajY;am
;A s;a naH
varDantu naH g;iraH
n;a v;Ajam saniSy;an
;atyaH n;a vAj;I
;indram vqtr;Aya h;antave
vats;am n;a mAt;araH
kav;iH ;atyaH n;a
saD;asTam ;A asadat
im;A ca v;izvA
pqTiv;Im ut;a dy;Am
s;am u priy;AH
s;a tv;am naH
naH mitr;aH v;aruZaH
pit;uH n;a putr;aH
qt;asya y;onim As;adam
s;aKA iva s;aKye
t;ava kr;atvA r;odasI
v;izvasya B;uvanasya r;AjA
v;izvA B;uvanA aB;i
p;iba indra s;omam
