;uSaH maGoni ;A
h;otAram agn;im m;anuSaH
Gqt;am n;a pUt;am
;aDa h;i agne
jy;otiSA ;A agAt
v;izvAH ;AzAH tarIS;aZi
t;at s;u naH
maGoni ;A vaha
r;aTena ;A vAm
ca vAyo eSAm
;indraH ca vAyo
v;izvAH y;aH carSaZ;IH
sud;uGAH vavr;e ant;ar
y;at cit h;i
t;ava ty;e agne
t;e syAma y;e
tok;Aya t;anayAya z;am
cakr;am n;a vqtt;am
pr;a te p;UrvAZi
mAt;uH pad;e param;e
DAH vIr;avat y;azaH
cit h;i te
syAma p;atayaH rayIZ;Am
u s;u vAm
y;at te indra
;it u asya
m;anuSaH n;i seduH
ut;a sy;a vAj;I
asy;a s;omasya pIt;aye
uz;ijaH z;aMsam Ay;oH
y;aH ;indrAya sun;avAma
s;a tv;am naH
;A eSu DAH
;indrAya sun;avAma ;iti
tv;am naH agne
y;aH ;ekaH ;it
te p;UrvAZi k;araZAni
vay;am syAma p;atayaH
agn;im m;anuSaH n;i
t;anayAya z;am y;oH
pr;a ;it u
t;at u s;u
sun;avAma ;iti ;Aha
eSu DAH vIr;avat
;A naH ray;im
;aDa sma naH
pr;ati muYcate kav;iH
v;aruZaH mitr;aH aryam;A
t;e rAy;A t;e
y;aH carSaZ;IH aB;i
Aj;im n;a jagmuH
k;aH vAm ady;a
