v;aruZaH mitr;aH agn;iH
n;akiH ;A daDarSa
agn;im h;otAram Ixate
s;am ca v;i
z;arma bahul;am v;i
;A te agne
z;iraH dAs;asya n;amuceH
urviy;A v;i BAti
viz;Am agn;im svaDvar;am
ca v;i ca
t;anayAya z;am y;oH
agne qc;A hav;iH
naH v;izve dev;AH
zukra dIdihi dyum;at
t;am ;A Bara
t;am u stuhi
Aj;im n;a jagmuH
d;ame ;A dIdiv;AMsam
y;at k;im ca
;A dev;An vakSi
;agne paz;uH n;a
viz;Am kav;im vizp;atim
t;at s;u naH
naH ;ahiH buDny:aH
te agne qc;A
;upa yAhi vidv;An
n;u naH agne
indrAgn;I t;A havAmahe
et;ari n;a zUS;EH
naH ;A Bara
u stuhi y;aH
;indrA n;u agn;I
yajY;am ca DqSZuy;A
s;a tv;am naH
asmadry:ak s;am mimIhi
y;aH ;ekaH ;it
n;a nAv;A durit;A
z;arDAya m;ArutAya sv;aBAnave
y;at vA p;aYca
Bavantu naH v;izve
n;i sasAda y;ajIyAn
;aDa sma naH
paz;uH n;a y;avase
;A y;at vAm
tok;Aya t;anayAya z;am
;A yAhi vIt;aye
naH v;izvAH ;ati
pUS;A B;agaH ;aditiH
s;am mimIhi zr;avAMsi
v;izvAH ;ati dv;iSaH
pqTiv;Im ut;a dy;Am
asm;aByam z;arma bahul;am
qt;asya y;onim ;A
s;a naH boDi
d;ame-dame sapt;a r;atnA
yajY;eSu dev;am Ixate
tv;am naH indra
vakSi y;akSi ca
t;A h;i kSatr;am
st;omam yajY;am ca
ca u n;u
dIdihi dyum;at pAvaka
m;A v;i venaH
dyum;at pAvaka dIdihi
yUT;A iva pazv;aH
;iSam ;Urjam v;ahantA
div;aH n;a y;asya
dev;An vakSi y;akSi
harivaH m;A v;i
asy;a s;omasya pIt;aye
dAs;asya n;amuceH maTAy;an
asm;Akam boDi avit;A
rev;at naH zukra
v;izvasya B;uvanasya r;AjA
;A vAm ;azvAsaH
aB;i arcanti ark;EH
vA p;aYca kSitIn;Am
naH zukra dIdihi
n;a riSyati n;a
