s;omam somapate piba
Bara tv;am h;i
s;a h;i sma
h;i tvA saj;oSasaH
;it n;u te
v;qSZi te z;avaH
v;qSA s;omaH ay;am
y;at cit h;i
ih;a ty;A puruB;UtamA
syAma p;atayaH rayIZ;Am
n;a te vart;A
v;izvA vAm;Ani DImahi
;A pr;a drava
;A naH gantam
;it v;E u
tv;am naH agne
tv;am ;ekaH ;it
pit;uH n;a putr;aH
vay;am syAma p;atayaH
pr;a ;it u
;ahaye h;antav;E u
tvA v;qSaZam huve
vqtrahantama j;anAsaH vqkt;abarhiSaH
y;akSi ca t;am
v;qSaZam huve v;ajrin
suv;Iryam ut;a ty;at
saj;oSasaH dev;AsaH dUt;am
naH gantam rizAdasA
;A dev;An vakSi
h;otA mandr;atamaH viz;i
Gqt;am n;a pUt;am
s;omaH ay;am sut;aH
naH r;aTam ava
y;at vA Ga
tv;Am ;it vqtrahantama
vaH devayajy;ayA agn;im
t;at s;u naH
div;aH cit rocan;At
v;izve h;i tvA
;ut u s;u
cit zuzrUy;Atam im;am
ita u n;u
naH ;A Bara
azvinA y;at vA
agn;im prayat;i aDvar;e
;A satsi barh;iSi
durit;A ;ati parSi
pruSit;apsavaH v;ayaH vahantu
s;a tv;am naH
y;aH ;ekaH ;it
r;AjAnA dIrGazr;uttamA t;A
ut;a ty;at Azv;azvyam
zuzrUy;Atam im;am h;avam
tv;am h;i saty;aH
te s;ADiSWaH ;avase
v;qSA m;adaH v;qSA
;A naH ray;im
dAn;A mahn;A t;at
naH rAsva suv;Iryam
s;a naH rAsva
n;amasA ;A vivAsa
s;omasya pIt;aye ;A
;azvinA g;aCatam yuv;am
;it vqtrahantama j;anAsaH
gr;AvA v;qSA m;adaH
agn;im DIB;iH saparyata
agne daz;aBiH sah;asrEH
t;at ;A Bara
n;amasA ;upa sedima
u n;u te
st;avAnaH ;A Bara
;A y;at vAm
ca t;am tvA
s;a m;artyaH y;am
m;A u t;e
m;adaH v;qSA s;omaH
saty;am ;it v;E
dev;am m;artAsaH Ut;aye
v;izvAH ;ati dv;iSaH
ut;a u te
ut;a naH g;omatIH
y;aH te s;ADiSWaH
huve v;ajrin citr;ABiH
y;at ant;arikSe ;A
mahn;A t;at eSAm
;A Bara tv;am
tv;am naH indra
;A Bara y;at
v;aruZaH mitr;aH aryam;A
vakSi y;akSi ca
;AyuDA r;aTeSu vaH
dev;An ;aCa n;a
stot;qByaH ;A Bara
t;ava ah;am agne
v;qSA tvA v;qSaZam
naH g;omatIH ;iSaH
;A ita u
aMh;oH cit uruc;akrayaH
y;aH z;aMsate stuvat;e
parAv;ati y;at arvAv;ati
me zqZ;avat h;avam
dev;An vakSi y;akSi
k;arhi cit zuzrUy;Atam
juS;eTAm yajY;am iSw;aye
sAk;am s;Uryasya razm;iBiH
cit h;i te
v;aruZa m;itra ;aryaman
asy;a s;omasya pIt;aye
v;qSA gr;AvA v;qSA
v;ajrin citr;ABiH Ut;iBiH
n;a min;anti svar;Ajyam
h;otAram tvA vqZImahe
dev;EH ;A satsi
;A ihi naH
cit rocan;At ;aDi
ah;am agne Ut;iBiH
