pr;ayAMsi s;uDitAni h;i
sutr;AmA sv;avAn ;indraH
dv;eSaH ;aBayam kqZotu
t;e ;A gamantu
t;at te indra
t;asya vay;am sumat;O
;avoBiH sumqxIk;aH Bavatu
Danasp;qtam zUzuv;AMsam sud;akSam
naH maGavan indra
;indraH asm;e Ar;At
p;arasya ;antarasya t;aruSaH
r;akSa ca naH
n;a p;arA jigye
te mahim;anaH samasya
v;astoH ;avasA gqZ;antaH
suv;Iryasya p;atayaH syAma
;A naH Bara
aB;i pr;ayAMsi s;uDitAni
;A y;aH papr;O
Bavatu vizv;avedAH b;ADatAm
yAhi t;Uyam ;A
dv;eSaH sanut;ar yuyotu
y;e k;e ca
y;at k;im ca
;A dev;An vakSi
sOmanas;e syAma s;a
praj;ABiH jAyate D;armaZaH
qtuT;A v;i vocaH
ut;a ty;A me
n;u te mahim;anaH
dvip;ade z;am c;atuSpade
dev;aH n;a m;artyaH
syAma t;asya vay;am
sutr;AmA sv;avAn ;avoBiH
sady;aH dAn;Aya m;aMhate
;api Badr;e sOmanas;e
naH pAhi ;aMhasaH
d;AsA vqtr;AZi ;AryA
syAma s;a sutr;AmA
;aBayam kqZotu suv;Iryasya
y;aH ca n;iSwyaH
p;azyema n;u s;Uryam
;it t;at n;a
sady;aH cit y;aH
pr;a praj;ABiH jAyate
im;am naH agne
sv;avAn ;avoBiH sumqxIk;aH
m;anma n;u priy;am
;aditiH z;arma yaCatu
p;ari ur;u v;arAMsi
naH p;Urve pit;araH
vidy;Ama v;astoH ;avasA
v;asAnaH ;atkam suraB;im
vizv;avedAH b;ADatAm dv;eSaH
agn;iH h;otA gqh;apatiH
sumqxIk;aH Bavatu vizv;avedAH
naH dev;aH savit;A
uzat;aH yakSi dev;An
pr;a n;u vocam
n;a Urm;ayaH m;adantaH
ut;a te indra
te ;Anaw sam;iDA
n;u s;Uryam ucc;arantam
vqtr;am v;ajreZa mandasAn;aH
cit dv;eSaH sanut;ar
;A naH dev;aH
kqZotu suv;Iryasya p;atayaH
v;izvasya sTAt;uH j;agataH
ih;a rAt;iH astu
ap;Am up;asTe mahiS;AH
sumat;O yajY;iyasya ;api
;asat ca s;at
pratar;am v;asyaH ;aCa
pqTiv;Im ut;a dy;Am
;atkam suraB;im dqz;e
yajY;iyasya ;api Badr;e
tv;aSwA dev;eBiH j;aniBiH
Ar;At cit dv;eSaH
pur;u sah;asrA n;i
As;adya asm;in barh;iSi
p;atayaH syAma t;asya
Badr;e sOmanas;e syAma
te indra nUn;am
tv;am naH indra
p;ari pAhi naH
;A Im enam
v;asunaH ca dAv;ane
;A gamantu t;e
v;i m;qDaH jahi
k;im aVg;a tvA
g;AvaH n;a Den;avaH
k;am sv:ar n;a
n;amasA ;A vivAset
r;aTam ;A tiSWa
v;izve AdityAH adite
t;e ih;a zruvantu
;indraH sutr;AmA sv;avAn
cit h;i tvA
r;odasI vqSaB;aH roravIti
tv;am ty;A cit
aB;i s;am navante
naya pratar;am v;asyaH
y;aH te ;Anaw
dqz;e k;am sv:ar
gamantu t;e ih;a
pr;a t;at te
suraB;im dqz;e k;am
pqTiv;Im mAt;aram v;i
y;at ady;a tvA
hotar iSit;aH y;ajIyAn
p;ari pAtu vizv;ataH
sv;avAn ;indraH asm;e
b;ADatAm dv;eSaH ;aBayam
s;a sutr;AmA sv;avAn
asm;e Ar;At cit
uS;asaH n;a pr;atIkam
ap;Am n;apAt avatu
;A r;odasI vqSaB;aH
saty;am ;it t;at
v;izvasya B;uvanasya r;AjA
vay;am sumat;O yajY;iyasya
mitr;aH naH ;atra
naH ;aditiH z;arma
;it n;u asya
jAyate D;armaZaH p;ari
ary;aH p;arasya ;antarasya
