s;Uryam rohayaH div;i
m;andasva DIt;iBiH hit;aH
iva Ga ;it
m;A p;arA dAH
u s;u naH
t;A vart;iH yAtam
t;at te indra
vidm;a h;i asya
tv;am indra aBiB;UH
y;aH im;A jaj;Ana
many;ave vqtr;am y;at
urviy;A v;i papraTe
t;at ;it h;i
v;izvA ;it t;A
naH maGavan indra
vidm;a h;i tvA
syAma p;atayaH rayIZ;Am
agn;im gIrB;iH havAmahe
mitr;aH aryam;A z;arma
;aditiH pAtu ;aMhasaH
azvinA suhavA rudravartanI
naH m;A naH
;it v;E u
tv;am naH agne
im;am naH zqZavat
tv;am ;ekaH ;it
u s;u pr;a
vay;am syAma p;atayaH
;agne zukr;eZa zoc;iSA
pitQZ;Am ca m;anmaBiH
pr;a ;it u
maG;avA vqtrah;A Buvat
;A naH Bara
v;qSA ;it asi
;ati v;izvAni durit;A
jy;otiSA sv:ar ;agaCaH
ray;im n;i DAraya
rAy;aH p;oSam y;ajamAneSu
vay;am pramin;Ama vrat;Ani
;A dev;An vakSi
praj;ABiH jAyate D;armaZaH
im;AH v;izvAH p;qtanAH
y;A te D;AmAni
y;at vA Ga
v;izvam id;am j;agat
dev;aH n;a m;artyaH
naH barh;iH As;ade
;aDi vocata naH
v;izvam ;AyuH v;i
t;A mandasAn;A m;anuSaH
v;i s;u v;izvAH
z;arma triv;arUTam v;i
te v;izvA B;uvanAni
mandasAn;A m;anuSaH duroZ;e
;A satsi barh;iSi
naH soma vizv;ataH
;A s;Uryam rohayaH
;ava sTir;A tanuhi
n;a pipy;uSIH ;iSaH
pr;a praj;ABiH jAyate
id;am naH barh;iH
k;utaH can;a n;a
;indra m;A naH
s;a tv;am agne
sv:ar ;agaCaH rocan;am
;ataH ;A yAtam
;it t;A te
vidm;a h;i te
aryam;A z;arma yaCantu
;aditiH z;arma yaCatu
z;arma yaCantu sapr;aTaH
indra z;am hqd;e
;A naH ray;im
pad;A ;A ;aBarat
y;at sunvat;e y;ajamAnAya
t;am tvA gIrB;iH
v;izvA jAt;Ani ;ojasA
naH z;arma yaCata
;ati v;izvA durit;A
;aTa im;AH v;izvAH
pr;a n;u vocam
pAhi naH tv;am
;apa ;amIvAm ;apa
;aBUma ;anAgasaH vay;am
;ajESma ady;a ;asanAma
u n;u te
ady;a ;asanAma ca
v;izve dev;AH ;anu
im;A v;izvA B;uvanAni
Adity;EH rudr;EH v;asuBiH
r;Asva ca naH
vqtr;AZi jaVGanAva B;Uri
y;am aryam;A mitr;aH
v;ajram z;izAnaH ;ojasA
;amateH ut;a kSuD;aH
viBr;Ajan jy;otiSA sv:ar
te indra z;am
;indra v;izvABiH Ut;iBiH
naH ;A gahi
pr;a naH ;AyUMSi
;A naH yajY;am
;A u s;u
indra aBiB;UH asi
;apa seData durmat;im
ihi pr;a ihi
ut;a u t;at
;A yajasva y;aH
indra ;A Bara
mqx;aya naH svast;i
;A Bara tv;am
tv;am naH indra
n;a t;am ;aMhaH
s;am ;it t;am
v;aruZaH mitr;aH aryam;A
;A t;u siYca
sady;aH jajYAn;aH h;avyaH
m;anuSaH duroZ;e ;A
;A Im enam
aryam;A mitr;aH v;aruZaH
ca ;aBUma ;anAgasaH
;A naH indra
tv;am ha ty;at
;A tvA vizantu
v;i m;qDaH jahi
k;at ha nUn;am
naH z;arma triv;arUTam
;agaCaH rocan;am div;aH
k;aH Im dadarza
y;aH te ;Anaw
y;at asya many;uH
me ;aDa vqtr;AZi
v;izvAH ;aDi zr;iyaH
;asanAma ca ;aBUma
s;a naH v;izvAni
v;aruZa m;itra ;aryaman
;A agne yAhi
meD;asAtO iva tm;anA
y;am azvinA suhavA
y;am te zyen;aH
y;am tvA j;anAsaH
;upa mA ;A
m;A u s;u
v;izvam sv:ar dqz;e
;it h;i asya
zr;avaH dev;eSu akrata
;aDa vqtr;AZi jaVGanAva
citr;am ;A Bara
h;aMsi n;i atr;iZam
h;otAram tvA vqZImahe
tv;am naH soma
naH zqZavat h;avam
z;am naH Bava
jAyate D;armaZaH p;ari
cit h;i tvA
