vAzr;AH arSanti p;ayasA
dyAvApqTivI pr;a avatam
d;evAH Datt;a ray;im
s;Uryam rohayaH div;i
yahv;I qt;asya mAt;arA
pr;a avatam naH
g;AvaH n;a Den;avaH
ray;im asm;e suv;Iram
vqSan v;qSA ;it
yUy;am pAta svast;iBiH
;aDi n;Ake asTAt
im;A v;izvA B;uvanAni
adveS;e dy;AvApqTiv;I huvema
;A v;aram v;i
dy;Am ut;a im;Am
dev;eSu ;A yamat
k;im can;a amamat
im;am naH yajY;am
dy;AvApqTiv;I huvema d;evAH
;anu h;i tvA
ca pqTiv;Im ca
t;e naH DAntu
dev;EH dyAvApqTivI pr;a
B;are kqt;am v;i
;arAtayaH ary;aH nazanta
svast;iBiH s;adA naH
s;Uryasya iva razm;ayaH
ganDarv;aH ;aDi n;Ake
pqTiv;I ut;a dy;OH
d;akSam ut;a kr;atum
v;izvA rUp;A aB;i
UrDv;aH ganDarv;aH ;aDi
v;izvAni ary;aH ;A
;A s;Uryam rohayaH
pqTiv;Im ut;a dy;Am
v;izvam sv:ar dqz;e
;aTa id;am v;izvam
BAn;uH zukr;eZa zoc;iSA
im;e mah;I r;odasI
v;izve ca dev;AH
mitr;Aya v;aruZAya ca
naH mitr;aH v;aruZaH
granT;im n;a v;i
u s;u pr;a
Datt;a ray;im asm;e
y;aH asm;An Ad;idezati
suv;Iryasya p;atayaH syAma
dev;AnAm ut;a m;artyAnAm
huvema d;evAH Datt;a
;aganma b;iBrataH n;amaH
;induH ;atyaH n;a
naH p;Urve pit;araH
v;izvasya B;uvanasya r;AjA
;A Bara tv;am
n;a n;i miSanti
jy;ok pazyema s;Uryam
v;izvA B;uvanA aB;i
v;qSA ;it asi
t;ava ty;e soma
pAta svast;iBiH s;adA
v;izvA v;asUni ;A
pariy;an ur;u jr;ayaH
arSanti p;ayasA iva
p;ayasA iva Den;avaH
