eSAm iSir;AsaH adr;uhaH
z;arDaH m;Arutam m;atsi
dyumn;Aya z;izum jajYAn;am
ty;am m;adyam m;adam
dev;apsarAH asi s;aKA
zr;avaH g;Am ;azvam
;aMhasaH pr;a te
aYjate yajY;aH n;a
;indradviSwAm ;apa Damanti
s;omaH gIrB;iH p;ariSkqtaH
s;omaH vAvqDe suvAn;aH
arSa j;ayan ap;aH
te drAp;im v;asAnaH
t;am naH v;izvAH
m;adam aB;i k;ozam
kav;iH B;agAya b;iBarti
nid;aH spar ;A
;azvam g;Am ur;u
eS;a u sy;a
harSayan v;ajraH ca
p;uraMDI ap;aH s;iSAsan
g;avyUtim m;ahi z;arma
y;Atave h;arim hinota
kqZvate paT;aH p;avamAnAsaH
am;qtam kqDi ;indrAya
v;qSA kav;iH y;onO
p;ari srava ;adabDaH
s;omAH sah;asrapAjasaH gqZAn;AH
zuSm;I asiSyadat ant;arikSe
iva n;Avam dev;aH
;upa trit;asya pASy:oH
;A Bara punAn;aH
Druv;AH Gqt;e pr;a
s;a zuSm;I kal;azeSu
p;ari v;Aram arSati
Iyase ;anu h;i
vAjas;AH ;qSiH vrat;A
naH s;omam pav;itre
v;Are p;ari DAva
divy;aH pIy;USaH p;avasva
akSAr ;A y;onim
;aDi s;Anavi svAyuD;asya
vAj;I arSati p;atiH
s;UryaH agn;iH ;indraH
s;am sravanti saMsrav;AH
s;Uryasya ;asireZa mqjy;ate
v;Ajam ;A aruhat
cam;USu s;omaH asm;aByam
pUrv;IH z;izum rihanti
n;a s;UryaH p;ari
indra s;omaH cam;USu
am;qtam Gqtazc;utaH zvet;am
nqc;akSAH asarat pav;itre
p;ayaH p;ayasA aB;i
;A s;Uryam rohayaH
p;avamAnaH aB;i sp;qDaH
k;armaZA dev;avItO ;A
;A roha D;armaZA
mqjanti zumB;anti v;ahnim
soma dyum;attamaH aB;i
pr;a kqSwih;A iva
mIXv;An pavate gAtuv;ittamaH
reBanti kav;ayaH n;a
punAn;am aB;i gAyata
p;avamAnasya ;A gata
indo suv;Iryam t;e
pav;itravantaH akSaran dev;An
y;atra dev;AH ;iti
s;ahaH ;invan m;adAya
k;anikradat dyum;antam z;uSmam
s;a matsar;aH pqts;u
jajYAn;aH pUt;aH kS;arat
qt;am bqh;at n;qBiH
t;amaH s;a s;uSwutaH
sukr;atuH ruv;ati BIm;aH
prIZ;an v;qSA k;anikradat
;ava dyutAn;aH kal;azAn
asi y;at soma
sicyate m;aDu samIcIn;AH
;ixAm asm;aByam saMy;atam
zakun;aH y;aTA hit;aH
z;atrUn k;anikranti h;ariH
aBizrIZ;an p;ayaH p;ayasA
ty;am haryat;am h;arim
eS;a v;qSA k;anikradat
nikt;am p;ari s;omaH
purusp;qham p;avamAna aB;i
manIS;AH ant;ar p;azyan
p;Atave sut;aH rakSoh;A
p;ari s;omaH avyata
div;i t;am Im
arSasi san;advAjaH p;ari
;adriBiH sut;aH pavase
vic;qtam aB;iSwaye ;induH
v;ajraH ca y;at
mqjanti veD;asaH gqZ;antaH
v;Aram arSasi marmqjy;amAnaH
Ad;aDat y;AH zukr;am
suv;Iryam d;aDat ray;im
agqBZan t;am s;ome
udapr;utaH ;indram m;adAya
m;adAya dev;atAte indo
y;at ;anti y;at
iva mqjy;ate g;oBiH
kqz;AnoH ;astuH m;anasA
pracakrAZ;am mah;IH ;iSaH
Urm;ayaH v;anAni mahiS;AH
y;onA mahiS;AH aheSata
dyum;An m;aDoH D;ArABiH
m;imAti v;ahniH ;etazaH
t;uByam pavate tv;am
s;AnO ;avye ;ajanti
As;adam v;eti druh;aH
n;a n;IcIH sut;AsaH
matsar;AsaH svarv;idaH t;arat
v;izvAH m;qDaH v;icarSaZiH
r;ajasaH kav;iH ;indrAya
kr;atvA d;akSasya raTy:am
r;odasI im;A ca
naH k;im can;a
yajY;EH svadayanta gUrt;iBiH
adveS;e dy;AvApqTiv;I huvema
asya vIry:am punAn;AsaH
v;izvA soma pavamAna
;A pavasva puraet;A
B;uvanAni vAjay;uH mAyAv;inaH
Urv;e g;AH viveda
yajY;am ;A gaman
svarj;it abj;it pavate
bqh;at aB;i dyumn;am
v;qSA sut;aH s;omaH
Ut;iBiH aB;i v;izvAni
aDvar;e mat;IH v;eH
marjayasi sv;e ;A
r;ajaH divy;A ca
r;odasI pqZa uS;AH
kqZv;an indrahav;An s;aKiByaH
n;a mahiS;aH v;aneSu
v;AryA aB;i dev;An
UrDv;aH ganDarv;aH ;aDi
ukT;am y;at asya
svarv;idaH ay;am B;arAya
n;avIyasIH p;atiH j;anInAm
samany:A v;asAnaH mah;An
mah;I r;odasI yakSat
n;ayan qt;asya praz;iSaH
v;Ajavat m;aDumat suv;Iryam
y;aH jajY;e vIr;uDAm
v;ArAn p;avamAnaH asiSyadat
yanti ras;inaH r;asAH
sut;asya rocate punAn;aH
h;i tvA sut;am
zr;avaH ;anu draps;AsaH
durAvy:am sAhv;AMsaH d;asyum
s;inDUnAm avasiSwa v;AsaH
varivov;it ;adAByaH s;omaH
b;qhasp;atiH mar;utaH vAy;uH
apIcy:am g;uhyam n;Ama
svAyuD;aH sot;qBiH pUyate
madintama sv;adasva ;indrAya
pAti k;Avyam ev;a
;avyAn p;avamAna p;avase
div;e-dive ay;am pUS;A
camv:oH pUy;amAnaH vicakSaZ;aH
stan;ayantI aBr;EH s;omasya
rev;atIH ;iSaH ;aDi
n;a codayaH aB;i
h;ariH arSa punAn;aH
tv;am r;AjA iva
suv;Iryam pr;a naH
ud;amandiSuH sut;AH ;aCa
zakun;am kS;AmaZi sT;Am
;A DAvata m;aDu
naH jah;i v;izvAH
;indraH vqtr;AZi aprat;i
;A ca s;omaH
Irate tisr;aH v;AcaH
z;atroH soma v;qSZyam
vyUrZv;an am;qtasya D;Ama
z;akmanA As;adam t;am
c;ArUZi cakre y;at
v;qSaZam vayoD;Am AVgUS;AZAm
sadaH ut;a naH
s;attA n;i y;onA
van;uSA bqh;antaH t;An
B;agattim Ut;aye ;A
s;UryaH n;a razm;iBiH
satyakarman zradD;Am v;adan
r;atnam svaD;ayoH apIcy:am
marmqjAn;aH ;aviBiH g;oBiH
v;izvA dv;eSAMsi tarati
pr;a v;Acam ;induH
;aTa u arvAv;ataH
;aDukSata priy;am m;aDu
tir;aH pav;itram ;indrAya
jAy;A iva p;atyO
pavamAna rada ;indo
s;am asvaran avit;A
apt;uram g;oBiH BaVg;am
pr;a zukr;AsaH vayoj;uvaH
v;AjasAtaye aB;i v;izvAni
aB;i v;Ajam s;aptiH
y;oSaZaH d;aza sv;asAraH
p;ari vyata y;adi
punAn;aH yAti haryat;aH
v;iSvaYcam aruhat vicakSaZ;aH
hiraZyaj;it svarj;it abj;it
qt;asya zukr;aH v;i
et;e s;omAsaH ;indavaH
tArIt m;A u
varD;ayan sut;aH m;adAya
m;adAya punAn;am aB;i
k;ozam maDyam;am yuva
y;uvA g;AH kqZvAn;aH
jAt;A sv:arSAtA v;ane
y;onim ;ayohatam dr;uZA
;A pavasva sahasrajit
sarpati tv;acam ;atyaH
usr;iyABiH ut;a pr;a
BaVg;am p;ariSkqtam ;indum
m;aDunA p;ayaH ;aTarvAZaH
trit;asya pASy:oH ;aBakta
niSkqt;am g;oBiH aYjAn;aH
t;am ;induH p;ari
;indrAya m;aDumattamam kav;im
pr;a u sy;a
p;ari divy;Ani m;armqzat
;asurAya nirZ;ijam vip;Am
ray;im stotr;e suv;Iryam
y;aH ;AviTa ;indram
v;iw ;ApaH n;a
sqjyate zuSm;I As;adam
asvaran div;aH n;Ake
mand;anAH avIvazat g;AH
;Aha vipqCat;e hit;aH
up;ari s;omaH dev;aH
kr;Ixan camv:oH ;A
v;asu s;am mAt;qBiH
g;omatIH ;iSaH v;izvAH
asm;aByam aB;itaH s;am
;akramuH Gn;antaH kqSZ;Am
paT;aH kqZuhi pr;AcaH
et;e s;omAH asqkSata
s;iSAsan uS;asaH sv:ar
;apa tv;Am soma
v;Ajam iva asarat
pavamAna r;odasI im;A
tvA y;oSaZaH d;aza
nahuSy:eBiH ;induH pr;a
;A suvAn;aH soma
mqjanti Ay;avaH punAn;aH
;asqgran dev;avItaye vAjay;antaH
z;arma sapr;aTaH m;AkiH
qtuT;A v;asAnaH d;aza
srava y;atra anukAm;am
pqtan;AjaH ;atyAH p;ari
anUSata st;uBaH y;aH
pUrvy;e vy:omani catv;Ari
;aCa vIt;I j;anasya
s;amqtA s;eDati sriD;aH
anUSata g;AvaH vats;am
;indum ;indre daDAtana
s;omaH sut;asya m;aDvaH
y;onim ;A s;a
hinvAn;aH v;Acam iSyasi
praTanta D;iyaH pinvAn;AH
mahIy;uvaH ;aDa kSap;A
t;An aB;i s;oma
z;uBaH sp;arDante D;iyaH
s;am tiSWa jan;aya
v;aruZam m;atsi mitr;am
DIt;iBiH hit;am ;avyaH
dev;An s;aKiByaH ;A
g;AH kqZvAn;aH nirZ;ijam
arSati p;atiH v;izvasya
mah;I p;avamAnaH vqSaZyati
bqh;at p;avamAnasya te
ev;a pavasva dr;aviZam
s;a mAt;arA vic;aran
D;ArAH asqkSata r;eBan
p;ari h;i sma
p;avamAnaH manIS;I aMz;oH
v;AcaH ;ut Irate
g;omat indo h;iraZyavat
;indum m;adAya y;ujyAya
m;aDoH D;ArAH asqkSata
mAt;araH kuv;it vqSaZy;antIByaH
;indrasya tanv:am avIvqDan
vAjas;AtamaH d;aDat stotr;e
zat;aDAraH pavasva sahasras;AH
te D;ArAH ;ati
p;avamAnAya ;indave aB;i
v;izvAn ;it p;ari
k;artvA c;etante dasyut;arhaZA
sot;qBiH pUyate v;qSA
m;anasaH p;atiH p;avamAna
n;a k;ozAsaH aBr;avarSAH
Diy;A kqt;am hiraZy;ayam
;atra s;am jiGnate
n;i z;uSmam indo
r;ucaH p;avamAnasya soma
ap;aH suv;IrAsaH vay;am
maKasyate v;izvasya ;IzAnaH
punAn;aH avy;aye v;Are
s;inDUn v;i ratnaD;AH
vAvazAn;aH raTirAy;atAm uzat;I
vay;am pav;itram aByundat;aH
tozate n;i tozate
saDry:ak r;akSa s;u
s;a Band;anAH ;ut
vay;am v;izvA D;anAni
yAti niSkqt;am r;AjA
v;i ;adriBiH c;itAnAH
samudr;AsaH n;a s;avanAni
ut;a sv;asyAH ;arAtyAH
qZvanti kAr;avaH v;qSZaH
tqp;alam many;um ;aCa
soma vIr;avat ;azvAvat
vqZImahe p;Antam ;A
;ava cakradaH v;ane
Azata ut;a id;am
paT;aH pratnav;at rocaya
kav;im qt;asya y;onA
s;acA kav;eH ;apatyam
asi tv;am v;ipraH
m;adaH mat;iBiH p;ariSkqtaH
n;araH sah;asraDAram duhate
enam ;ahrutAH im;AH
m;A te r;asasya
s;omam v;izvasya B;uvanasya
asm;aByam soma gAtuv;it
v;qSA z;oZaH aBik;anikradat
