vqSaB;am vAvqDAn;am ;akavArim
mar;utvantam vqSaB;am vAvqDAn;am
ugr;am sahod;Am ih;a
zAs;am ;indram vizvAs;Aham
viz;Am kav;im vizp;atim
div;aH ;indraH pqTivy;AH
;indram vizvAs;Aham ;avase
vAvqDAn;am ;akavArim divy;am
barh;iH y;ajamAnasya sIda
;A tvA vahantu
sahod;Am ih;a t;am
qSv;am aj;aram y;uvAnam
;ahan ;ahim pariz;ayAnam
n;UtanAya ugr;am sahod;Am
ih;a t;am huvema
Druv;aH ;A n;iSattaH
r;akSa ca naH
;ahim pariz;ayAnam ;arZaH
;akavArim divy;am zAs;am
bqh;antam qSv;am aj;aram
;A id;am barh;iH
;indram n;a tvA
y;at ady;a tvA
vizvAs;Aham ;avase n;UtanAya
;avase n;UtanAya ugr;am
id;am barh;iH y;ajamAnasya
s;a mandasva h;i
;A naH Bara
te sumn;am Imahe
zqZutam h;avam me
r;odasI cit urv;I
divy;am zAs;am ;indram
uS;asaH y;Aman akt;oH
t;am u te
