tv;e dev;AH hav;iH adanti
u s;u zruDi g;iraH
DArayat pqTiv;Im papr;aTat ca
v;izve m;ama zruta h;avam
z;am ca y;oH ca
p;USarAtayaH v;izve m;ama zruta
yuj;A m;A naH duHz;aMsaH
suv;IrAsaH vid;aTam ;A vadema
m;arudgaZAH d;evAsaH p;USarAtayaH v;izve
cakqm;a k;at cit ;AgaH
v;izve devAsaH ;A gata
;indrajyeSWAH m;arudgaZAH d;evAsaH p;USarAtayaH
savit;A dev;aH ;A agAt
nan;amaH v;aDar ;adevasya pIy;oH
parAv;qjam pr;a anD;am zroZ;am
v;Ajam Barate D;anA n;qBiH
im;AH u s;u zruDi
d;evAsaH p;USarAtayaH v;izve m;ama
n;iH ap;Am ObjaH arZav;am
dev;AH hav;iH adanti ;Ahutam
s;a DArayat pqTiv;Im papr;aTat
im;am siDr;am ady;a divisp;qzam
