;avartim g;amiSWA Ah;uH v;iprAsaH
Ah;uH v;iprAsaH azvinA purAj;AH
g;amiSWA Ah;uH v;iprAsaH azvinA
k;aH ih;a pr;a vocat
ap;Am g;arBam darzat;am ;oSaDInAm
k;im aVg;a vAm pr;ati
sapary;Ami pr;ayasA y;Ami r;atnam
im;e vAm niD;ayaH m;aDUnAm
vAm pr;ati ;avartim g;amiSWA
im;am zqZutam zl;okam ;adreH
puraHs;adaH zarmas;adaH n;a vIr;AH
;adreH k;im aVg;a vAm
pr;ati ;avartim g;amiSWA Ah;uH
vipany;avaH jAgqv;AMsaH s;am inDate
ih;a yAtam paT;iBiH devay;AnEH
;upa naH sut;am ;A
y;aTA naH mitr;aH v;aruZaH
zl;okam ;adreH k;im aVg;a
;A ih;a yAtam paT;iBiH
;A t;u naH indra
aVg;a vAm pr;ati ;avartim
r;AjA puraHs;adaH zarmas;adaH n;a
d;asrO im;e vAm niD;ayaH
hit;amitraH n;a r;AjA puraHs;adaH
naH ;A gahi ;A
zqZutam zl;okam ;adreH k;im
suv;qtA r;aTena d;asrO im;am
arvAc;Inam s;u te m;anaH
n;a r;AjA puraHs;adaH zarmas;adaH
v;iprAsaH azvinA purAj;AH ;A
d;asrO im;am zqZutam zl;okam
m;A u s;u naH
naH sut;am ;A gahi
r;aTena d;asrO im;am zqZutam
;indra tv;AdAtam ;it y;azaH
