zrut;am me mitrAvaruZA h;avA
yuSm;Akam devAH ;avasA ;ahani
zat;inIBiH aDvar;am sahasr;iZIBiH ;upa
m;A p;arA dAH m;A
;araruSaH DUrt;iH pr;aZak m;artyasya
;AgaH cakqm;a t;at s;u
aDvar;am sahasr;iZIBiH ;upa yAhi
h;aste d;aDAnaH n;aryA pur;UZi
r;aTam s;amanasA n;i yaCatam
m;A naH duHz;aMsaH Izata
n;araH y;atra devay;avaH m;adanti
uS;AsAn;aktA sud;uGA iva Den;uH
ped;ave UhaTuH Az;um ;azvam
stut;aH vIr;avat DAtu g;omat
;indraH v;aruZaH mitr;aH aryam;A
niy;udBiH zat;inIBiH aDvar;am sahasr;iZIBiH
arv;Ak r;aTam s;amanasA n;i
sIm ;AgaH cakqm;a t;at
t;amasaH pAr;am asy;a pr;ati
s;anA t;A te indra
y;at sIm ;AgaH cakqm;a
pr;a dy;AvA yajY;EH pqTiv;I
;A indrAgnI sOmanas;Aya yAtam
Atm;A j;agataH tasT;uSaH ca
;atAriSma t;amasaH pAr;am asy;a
s;aKA suz;evaH eDi naH
devAH ;avasA ;ahani priy;e
viz;e j;anAya m;ahi z;arma
n;a jAt;aH n;a janiSyate
;A naH niy;udBiH zat;inIBiH
naH stut;aH vIr;avat DAtu
mitr;aH aryam;A v;aruZaH saj;oSAH
tv;am ha ty;at indra
pAh;i naH agne rakS;asaH
ur;um yajY;Aya cakraTuH ulok;am
me mitrAvaruZA h;avA im;A
v;AtaH ;anu vAti zoc;iH
aB;i vid;uH kav;iH s;an
asya v;AtaH ;anu vAti
sut;aH s;omaH p;ariSiktA m;aDUni
s;a naH stut;aH vIr;avat
yuD;A dev;eByaH v;arivaH cakarTa
naH niy;udBiH zat;inIBiH aDvar;am
j;anAya m;ahi z;arma yaCatam
tv;am h;i ratnaD;AH ;asi
n;i ped;ave UhaTuH Az;um
v;aha vAyo niy;utaH yAhi
uS;AH uCat ;apa sr;iDaH
y;aH ;azvAnAm y;aH g;avAm
;At asya v;AtaH ;anu
