sat;e vahasi B;Uri vAm;am ;uSaH
narA nAsatyA iSay;aDyE vart;iH yAT;aH
pituB;AjaH vy:uSwO am;A sat;e vahasi
vart;iH yAT;aH t;anayAya tm;ane ca
vAm;am ;uSaH devi dAz;uSe m;artyAya
n;a sr;avantIH pr;a y;at samudr;am
v;ayaH cit vasat;eH apaptan n;araH
sr;avantIH pr;a y;at samudr;am ;ati
nAsatyA iSay;aDyE vart;iH yAT;aH t;anayAya
t;at savit;A c;anaH DAt t;at
ap;aH sIr;AH n;a sr;avantIH pr;a
cit vasat;eH apaptan n;araH ca
y;at p;uraH z;arma z;AradIH d;art
ca y;e pituB;AjaH vy:uSwO am;A
y;at samudr;am ;ati zUra p;arSi
tv;am D;uniH indra D;unimatIH qZ;oH
D;unimatIH qZ;oH ap;aH sIr;AH n;a
qZ;oH ap;aH sIr;AH n;a sr;avantIH
B;Uri vAm;am ;uSaH devi dAz;uSe
samudr;am ;ati zUra p;arSi pAr;aya
y;e pituB;AjaH vy:uSwO am;A sat;e
;ati zUra p;arSi pAr;aya turv;azam
vahasi B;Uri vAm;am ;uSaH devi
te v;ayaH cit vasat;eH apaptan
n;araH ca y;e pituB;AjaH vy:uSwO
zUra p;arSi pAr;aya turv;azam y;adum
apaptan n;araH ca y;e pituB;AjaH
indra D;unimatIH qZ;oH ap;aH sIr;AH
p;arSi pAr;aya turv;azam y;adum svast;i
sapt;a y;at p;uraH z;arma z;AradIH
vy:uSwO am;A sat;e vahasi B;Uri
v;qSZaH s;omasya vqSaZA ;A vqSeTAm
n;a asya vart;A n;a tarut;A
sIr;AH n;a sr;avantIH pr;a y;at
am;A sat;e vahasi B;Uri vAm;am
D;uniH indra D;unimatIH qZ;oH ap;aH
vasat;eH apaptan n;araH ca y;e
y;ena narA nAsatyA iSay;aDyE vart;iH
;ut te v;ayaH cit vasat;eH
pr;a y;at samudr;am ;ati zUra
iSay;aDyE vart;iH yAT;aH t;anayAya tm;ane
