y;aH rAy;aH av;aniH mah;An supAr;aH
av;aniH mah;An supAr;aH sunvat;aH s;aKA
y;at nAsatyA parAv;ati y;at vA
v;izvA ;it t;A te s;avaneSu
zuBaH patI pAt;am s;omam qtAvqDA
s;a naH st;avAnaH ;A Bara
me s;acA m;A u s;u
Im itT;A namasv;inaH ;upa svar;Ajam
;it t;A te s;avaneSu prav;AcyA
aDvarazr;iyaH v;ahantu s;avanA ;it ;upa
s;aptayaH aDvarazr;iyaH v;ahantu s;avanA ;it
rAy;aH av;aniH mah;An supAr;aH sunvat;aH
y;at vAm r;aTaH v;iBiH p;atAt
Ga Im itT;A namasv;inaH ;upa
nAsatyA parAv;ati y;at vA sT;aH
itT;A namasv;inaH ;upa svar;Ajam Asate
parAv;ati y;at vA sT;aH ;aDi
t;am Ga Im itT;A namasv;inaH
