;avase n;UtanAya ugr;am sahod;Am ih;a
n;UtanAya ugr;am sahod;Am ih;a t;am
mar;utvantam vqSaB;am vAvqDAn;am ;akavArim divy;am
vqSaB;am vAvqDAn;am ;akavArim divy;am zAs;am
;indram vizvAs;Aham ;avase n;UtanAya ugr;am
;A id;am barh;iH y;ajamAnasya sIda
zAs;am ;indram vizvAs;Aham ;avase n;UtanAya
vizvAs;Aham ;avase n;UtanAya ugr;am sahod;Am
vAvqDAn;am ;akavArim divy;am zAs;am ;indram
divy;am zAs;am ;indram vizvAs;Aham ;avase
ugr;am sahod;Am ih;a t;am huvema
;akavArim divy;am zAs;am ;indram vizvAs;Aham
