RV	1.17.4	67
RV	1.18.1	43
RV	1.30.21	n.5
RV	1.42.1	116
RV	1.46.1	135
RV	1.46.6	n.260
RV	1.50.1	77
RV	1.53.3	132
RV	1.56.6	109
RV	1.62.3	n.93
RV	1.63.8	115
RV	1.69.1	121
RV	1.71.1	109
RV	1.73.1	107
RV	1.83.1	n.140
RV	1.88.6	70
RV	1.116.21	135
RV	1.120.9	67
RV	1.123.4	41
RV	1.130-132	n.279
RV	1.130.3	18;n.87 
RV	1.131.2	n.333
RV	1.131.3	n.125
RV	1.132.1	n.253
RV	1.132.2bc	75
RV	1.141.1	118
RV	1.151.1	n.106
RV	1.154.6	133
RV	1.155.6	61
RV	1.164.4	137
RV	1.164.38	151
RV	1.164.43	38
RV	1.165.5	77
RV	1.165.9	124
RV	1.174.9	115.n.257
RV	1.186.5	n.243
RV	1.187.7	n.178
RV	1.188.5	18
RV	1.189.6	77
RV	1.191.13	62
RV	I.193.7	18
RV	2.1.19	149
RV	2.11.17	107
RV	2.12.3	20
RV	2.18.5f.	61
RV	2.19.1	n.93
RV	2.19.6	149
RV	2.20.2	74
RV	2.28.6	136
RV	2.33.14	n.243
RV	2.34.2	n.262
RV	2.35.6	n.96
RV	2.38.11	n.243
RV	3.12.6	61
RV	3.13.1	n.248
RV	3.30.15	53
RV	3.30.17	n.183
RV	3.30.18	115
RV	3.31.17	133
RV	3.37.7	116
RV	3.54.19	n.253
RV	4.2.1	133
RV	4.2.2	38
RV	4.3.6	n.47
RV	4.3.14	107
RV	4.5.13	n.269
RV	4.5.14	146
RV	4.18.8	n.269
RV	4.18.12	n.271
RV	4.21.10	n.243
RV	4.28.5	18
RV	4.30.23	124
RV	4.37.2	n.243
RV	4.42.2	66
RV	4.45.3	n.81
RV	4.45.6	149
RV	4.58.3	n.98
RV	5.6.6	105
RV	5.16.3	n.110
RV	5.17.11	142
RV	5.30.4	135
RV	5.30.9	135
RV	5.33.5	n.93
RV	5.33.10	n.93
RV	5.34.8	122
RV	5.36.2	n.248
RV	5.46.7	135
RV	5.52.8	n.244
RV	5.52.17	n.244
RV	5.61.8	102
RV	5.69.2	n.157
RV	5.74.1	n.181
RV	5.74.5	105
RV	5.79.10	137
RV	5.86.3	n.111
RV	6.8.7	n.261
RV	6.15.6	n.305
RV	6.18.11	137
RV	6.20.8	133
RV	6.22.7	n.138
RV	6.25.1	n.261
RV	6.26.5	115
RV	6.44.6	137
RV	6.48.17	n.87
RV	6.52.15	135
RV	6.55.1	66
RV	6.62.1	135
RV	6.65.1	70
RV	6.70.1	19
RV	6.70.4	19
RV	6.75.11	46
RV	6.75.15	28
RV	7.4.6	137
RV	7.8.2	70
RV	7.13.1	107
RV	7.19.4	27
RV	7.20.2	n.261
